gene_id,meta_log2FC,meta_SE,meta_z,meta_pvalue,tau2,I2,n_datasets,n_up,n_down,meta_padj,frac_concordant,replicated
28560,11.5816081408467,3.90136436713466,2.96860458315838,0.00299155281864587,0,0,2,2,0,0.149247538552305,1,TRUE
80298,-23.6408562189309,7.97454031536445,-2.96454156403001,0.00303134290188103,0,0,2,0,2,0.150504915038961,1,TRUE
150372,30.1653987230361,10.178859348552,2.96353429103306,0.00304128174387026,0,0,2,2,0,0.150504915038961,1,TRUE
81490,-0.459144076950485,0.154996203031771,-2.9622924172947,0.0030535763172019,0,0,3,0,3,0.150504915038961,1,TRUE
2027,-1.57480796741826,0.531720579841048,-2.96172092471769,0.00305924931952668,1.72394796197251e-06,3.45498965215468e-08,3,1,2,0.150504915038961,0.666666666666667,TRUE
378951,-1.18873406537121,0.401511133028755,-2.96065032220683,0.00306990268376618,0,0,3,0,3,0.150504915038961,1,TRUE
154467,36.4206670427141,12.3044923668191,2.9599487696809,0.00307690203790591,0,0,2,2,0,0.150504915038961,1,TRUE
126308,81.607828272755,27.5717189013007,2.95983825182931,0.00307800599481395,0,0,2,2,0,0.150504915038961,1,TRUE
6317,1.47215690958912,0.497387755475463,2.95977714244666,0.00307861656823014,0,0,3,3,0,0.150504915038961,1,TRUE
101927768,-6.06611399996628,2.0498124454342,-2.95935075107876,0.00308287992556703,0,0,2,0,2,0.150504915038961,1,TRUE
92521,-25.9294126791571,8.76281307746606,-2.95902839076137,0.00308610668105878,0,0,2,0,2,0.150504915038961,1,TRUE
1849,-1.41105675938538,0.477300504127556,-2.95632782111682,0.00311325999560833,0,0,3,2,1,0.151488718441013,0.666666666666667,TRUE
92014,-12.4959687635719,4.22836178881919,-2.95527426168079,0.0031239121137225,0,0,2,0,2,0.151616216635297,1,TRUE
57380,0.419861376418999,0.142100066077923,2.95468811526634,0.0031298527809701,8.03664285375627e-07,6.73698145467758e-07,3,2,1,0.151616216635297,0.666666666666667,TRUE
3031,-0.572665367896263,0.193937829232613,-2.95282962670164,0.00314875695719334,0,0,3,0,3,0.152192257204922,1,TRUE
134359,20.4924715136468,6.94279753787483,2.95161588709089,0.00316115899722454,0,0,2,2,0,0.152281614901514,1,TRUE
729059,-4.12606289762441,1.39837939191823,-2.9506033351682,0.00317153934194823,0,0,2,0,2,0.152281614901514,1,TRUE
25976,-0.978248039145645,0.331542980229517,-2.95059192165201,0.00317165652637934,0,0,3,0,3,0.152281614901514,1,TRUE
101930583,-0.9556587221425,0.324234036452039,-2.94743492262529,0.00320422187970803,0,0,3,2,1,0.152896094155304,0.666666666666667,TRUE
125488,46.6936072895666,15.8456895742365,2.94677029174456,0.00321111644677699,33.8102756674715,4.30334802224853,2,2,0,0.152896094155304,1,TRUE
117145,-28.8341523097344,9.78523545566483,-2.9466998970415,0.00321184747940201,0,0,2,0,2,0.152896094155304,1,TRUE
22880,-0.402562950005947,0.136638027828683,-2.9461999445036,0.00321704373520971,2.97721497761647e-06,5.46115701291182e-07,3,1,2,0.152896094155304,0.666666666666667,TRUE
6615,-1.20651784587247,0.409565462444043,-2.94584860420771,0.0032206999720475,0,0,3,0,3,0.152896094155304,1,TRUE
84144,-10.3174219675301,3.50322343819451,-2.94512244210363,0.00322826881043498,0,0,2,0,2,0.152896094155304,1,TRUE
54538,-0.549124187406088,0.186522735687581,-2.94400672058473,0.00323992964012247,2.23926315412529e-06,2.49680047854934e-06,3,1,2,0.152896094155304,0.666666666666667,TRUE
643923,-15.6784655527045,5.32570684955111,-2.94392199864061,0.00324081666719381,0,0,2,0,2,0.152896094155304,1,TRUE
84172,-0.830565902356184,0.282465342805553,-2.94041702286974,0.00327770778226612,0,0,3,0,3,0.154301115598133,1,TRUE
29998,-0.620163228098884,0.211024882346024,-2.93881565625983,0.00329468971547927,0,0,3,1,2,0.154764840271279,0.666666666666667,TRUE
8940,-1.45511929642837,0.495448642091006,-2.93697302365618,0.00331432933129586,3.58480167672828e-06,3.07600165700918e-05,3,1,2,0.155351134228473,0.666666666666667,TRUE
340547,9.16985637689177,3.12408474750573,2.93521370833906,0.00333318036010638,0,0,2,2,0,0.155898017618596,1,TRUE
995,-0.975624798969306,0.332772440476413,-2.93180768687622,0.00336995358440777,3.69558260463283e-06,6.73519930213589e-05,3,1,2,0.157278995029715,0.666666666666667,TRUE
3636,-0.500092069588064,0.170784170622016,-2.92821089780553,0.00340918713687383,1.54365719433652e-06,2.29977367405057e-06,3,2,1,0.158295363379501,0.666666666666667,TRUE
81889,-35.7782112684408,12.2186858726087,-2.92815542043246,0.00340979552367502,0,0,2,0,2,0.158295363379501,1,TRUE
79658,-0.484661264352124,0.165553424122809,-2.92752183725658,0.00341675066081007,4.31145530065203e-07,2.91337767816172e-07,3,1,2,0.158295363379501,0.666666666666667,TRUE
9673,-0.49109571999973,0.167773009909363,-2.92714376564524,0.00342090707884001,0,0,3,1,2,0.158295363379501,0.666666666666667,TRUE
90701,405.188709040161,138.479552190812,2.92598223080508,0.00343370549120075,0,0,2,2,0,0.158549524617103,1,TRUE
9682,-0.346637748932654,0.11851738890099,-2.92478388316701,0.00344695519242594,5.61406143557985e-06,5.84632664199876e-06,3,1,2,0.158823400394964,0.666666666666667,TRUE
51010,31.6953439688814,10.8411346221286,2.92361870538769,0.00345988275188118,0,0,2,2,0,0.159081303985859,1,TRUE
57000,-0.877526659028209,0.300360346056087,-2.92157959780865,0.00348261272791167,4.58231317167367e-07,8.18405024995058e-06,3,1,2,0.159787867697968,0.666666666666667,TRUE
4143,-0.564631170611713,0.193319079550195,-2.92072138935002,0.00349221976446431,0,0,3,1,2,0.159890618836297,0.666666666666667,TRUE
100379345,-20.7586478609003,7.11268827684548,-2.9185375561133,0.00351677509574171,0,0,2,0,2,0.160675901321656,1,TRUE
23005,-0.923356363499418,0.316572564389449,-2.91672895053376,0.00353723013355793,0,0,3,2,1,0.161270941929568,0.666666666666667,TRUE
57590,78.5833961365555,26.9544335657033,2.91541634310374,0.003552143236041,0,0,2,2,0,0.161594547626923,1,TRUE
1655,-85.7944736627965,29.4341342483275,-2.91479521493558,0.00355922006108511,0,0,2,0,2,0.161594547626923,1,TRUE
387893,-0.638753310433178,0.219221506302339,-2.91373470243491,0.00357133266353334,0,0,3,1,2,0.161805973828811,0.666666666666667,TRUE
4904,-0.943507924722235,0.323964020335489,-2.91238491158728,0.00358680347980144,0,0,3,0,3,0.162111216315274,1,TRUE
147920,15.2027014714172,5.22098595507399,2.91184492780382,0.0035930096326443,0,0,2,2,0,0.162111216315274,1,TRUE
155435,31.94025908938,10.9733843833564,2.91070265777115,0.0036061701906109,0,0,2,2,0,0.162367438748211,1,TRUE
196385,-6.5838731729717,2.26429813470683,-2.90768829071361,0.00364111072067506,0,0,2,0,2,0.163344216395242,1,TRUE
9057,-0.908170847888274,0.312361075653212,-2.90743923835292,0.00364401129367149,2.74769477692388e-07,1.97139148365663e-08,3,1,2,0.163344216395242,0.666666666666667,TRUE
5626,-0.957796894509308,0.329492245776326,-2.90688751188246,0.00365044442685893,9.53457912144262e-07,9.59065370565321e-06,3,1,2,0.163344216395242,0.666666666666667,TRUE
28990,0.499927122140319,0.172287661400861,2.90170008737388,0.00371143677147084,3.21561034247684e-06,1.06899505827201e-05,3,2,1,0.16530183391964,0.666666666666667,TRUE
440132,-15.3424976354065,5.28791520166047,-2.90142656421359,0.0037146783490002,0,0,2,0,2,0.16530183391964,1,TRUE
27289,-1.40684233669335,0.484912867995723,-2.90122706478838,0.00371704427945739,2.65632961173367e-06,1.12845748019309e-05,3,1,2,0.16530183391964,0.666666666666667,TRUE
328,-0.321344928213617,0.11082262579383,-2.89963286749255,0.00373599966452872,3.16322075479222e-06,8.73531719636271e-08,3,1,2,0.165805040326385,0.666666666666667,TRUE
6998,-1.05462503971671,0.364001472466838,-2.89730981737385,0.0037637786150284,0,0,3,0,3,0.166620108784311,1,TRUE
55788,0.459492708101372,0.15862631893004,2.89669905473899,0.00377111319252092,0,0,3,1,2,0.166620108784311,0.666666666666667,TRUE
326,-0.885009548006976,0.305642273055204,-2.89557311284335,0.00378466855378865,0,0,3,0,3,0.166620108784311,1,TRUE
10121,-0.375103755717655,0.129565140591584,-2.89509781724436,0.00379040397912832,5.11844220537229e-09,2.75431046781033e-09,3,1,2,0.166620108784311,0.666666666666667,TRUE
9883,-0.702393472687622,0.24273120214008,-2.89370903491126,0.00380720779955053,0,0,3,0,3,0.166620108784311,1,TRUE
100616367,16.7754201050426,5.79723132847199,2.8936951373069,0.00380737629765858,0,0,2,2,0,0.166620108784311,1,TRUE
4850,-0.900298731682186,0.311168788569396,-2.89328096118292,0.00381240098613907,0,0,3,1,2,0.166620108784311,0.666666666666667,TRUE
51450,-0.795470026258232,0.274963505836644,-2.89300219619262,0.00381578629001025,1.16300689609156e-06,1.31264567132588e-06,3,1,2,0.166620108784311,0.666666666666667,TRUE
3195,-0.626639197329976,0.216766631376717,-2.89084714446175,0.00384204941674373,0,0,3,1,2,0.167370871991633,0.666666666666667,TRUE
54857,-0.579642060081799,0.200545445624015,-2.89032771738192,0.00384840406984723,0,0,3,1,2,0.167370871991633,0.666666666666667,TRUE
3761,-1.10159658176292,0.381313888098168,-2.88894954038318,0.00386531094606071,0,0,3,0,3,0.167648980122575,1,TRUE
729359,-92.9997179960956,32.2010908671382,-2.88809215749283,0.00387586296408555,0,0,2,0,2,0.167648980122575,1,TRUE
84164,-0.340237760498824,0.117814085811331,-2.88792089804683,0.00387797382828921,0,0,3,1,2,0.167648980122575,0.666666666666667,TRUE
23160,-0.781669906074895,0.270737150535727,-2.88719115395929,0.00388698002457088,0,0,3,1,2,0.167683401881019,0.666666666666667,TRUE
285367,-20.5731766739855,7.12711786640182,-2.88660536553916,0.00389422332264463,6.32912697653096,3.05431370769045,2,0,2,0.167683401881019,1,TRUE
8945,-0.847677593689553,0.293878662520357,-2.88444756900591,0.00392101044943612,1.4895261577867e-06,7.82240003530925e-06,3,1,2,0.168502512423094,0.666666666666667,TRUE
91661,40.8181196751814,14.1654013255651,2.88153640952725,0.00395741510080096,0,0,2,2,0,0.169730874540677,1,TRUE
3716,0.246912900260046,0.0857800874573139,2.87844076147527,0.00399646330873143,0,0,3,2,1,0.170327687515859,0.666666666666667,TRUE
56834,-0.443172188904554,0.153966060619642,-2.87837583894133,0.00399728596752811,1.11200511182727e-06,6.71627352354915e-06,3,1,2,0.170327687515859,0.666666666666667,TRUE
84766,35.4842804574289,12.3332894673667,2.87711405390416,0.00401330510077278,0,0,2,2,0,0.170327687515859,1,TRUE
101928790,-3.43551933179377,1.19417935494386,-2.87688722600238,0.00401619099240399,0,0,2,0,2,0.170327687515859,1,TRUE
158399,-8.57555981066634,2.98110258017446,-2.87664029667992,0.0040193347725636,0,0,2,0,2,0.170327687515859,1,TRUE
10107,0.886120176804323,0.308066016739898,2.87639703392692,0.00402243405619025,1.85733372711575e-06,7.13659333495257e-06,3,2,1,0.170327687515859,0.666666666666667,TRUE
728264,-41.8933132217019,14.5660332951971,-2.87609621457584,0.00402626963854188,0,0,2,0,2,0.170327687515859,1,TRUE
6157,-0.743796534685852,0.258751829448313,-2.87455565540041,0.00404596455353502,0,0,3,1,2,0.170562382805185,0.666666666666667,TRUE
9514,-0.72006055198543,0.250505245953301,-2.8744330253254,0.00404753604021153,0,0,3,1,2,0.170562382805185,0.666666666666667,TRUE
25799,-1.22245108573197,0.425700451800283,-2.87162271160916,0.0040837019829248,0,0,3,1,2,0.171472833636133,0.666666666666667,TRUE
8867,-0.818529988657709,0.285057000680107,-2.87146074891972,0.00408579519276712,0,0,3,1,2,0.171472833636133,0.666666666666667,TRUE
6453,-0.541596864805807,0.188649511954758,-2.87091580144503,0.00409284525958514,0,0,3,0,3,0.171472833636133,1,TRUE
29937,-0.915415119918998,0.319265710503434,-2.86725160204497,0.00414053695082484,4.59955763786318e-06,8.77836928770133e-07,3,1,2,0.172644327313718,0.666666666666667,TRUE
