,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
5581,-0.19392826228798418,0.03736926525832902,-5.189512315732797,2.1084555928517574e-07,1.4070097543444346e-06,4,4,1.0,True
89846,-0.16203813141836654,0.03123738584905716,-5.187314079396863,2.1334874459075967e-07,1.4230962898407505e-06,4,4,1.0,True
5714,-0.12380325542233407,0.023871754207050528,-5.186181725420445,2.1464936620960758e-07,1.431150913041074e-06,4,4,1.0,True
63895,0.1682086567238335,0.03243768098408685,5.1855943958001385,2.153269873114374e-07,1.4350465669325316e-06,4,4,1.0,True
94005,-0.09995622375302628,0.019278992322186116,-5.184722421306088,2.1633682645974412e-07,1.4411519526943526e-06,4,3,0.75,True
27245,0.18266562759853222,0.035241038736368954,5.1833213250329155,2.1796903644122882e-07,1.4513962474161511e-06,4,4,1.0,True
4326,0.15793871373432036,0.030472721119761972,5.182954062868214,2.1839884380269716e-07,1.4536286681673025e-06,4,4,1.0,True
55208,-0.13907024578880425,0.026833442448578364,-5.182721004034732,2.1867201747103433e-07,1.454817078588123e-06,4,4,1.0,True
56259,-0.11975292320802162,0.023116441511567016,-5.180422044980392,2.2138443306583995e-07,1.47222563079035e-06,4,3,0.75,True
1299,0.18829657927569401,0.03635048199423555,5.180029780775783,2.2185047924253574e-07,1.4746870377665315e-06,4,4,1.0,True
66005,0.0999486124962513,0.019298062372587854,5.179204552588886,2.228340237389968e-07,1.480584751506947e-06,4,3,0.75,True
7634,0.2544694404295295,0.049140124082566974,5.178445215196465,2.2374275775304486e-07,1.4859805185542396e-06,4,4,1.0,True
10439,0.20471408845211045,0.039545542423593275,5.176666595170431,2.258853530047525e-07,1.499562738535436e-06,4,3,0.75,True
2793,-0.21852820416799612,0.042215423516660765,-5.176501523945428,2.2608520658890597e-07,1.500241713985511e-06,4,3,0.75,True
24148,-0.12143459417787562,0.02346351789058394,-5.175464086167919,2.2734516077570973e-07,1.5079516164480316e-06,3,3,1.0,True
283848,0.16345239065131437,0.03159248250074846,5.173774825939747,2.294112751118801e-07,1.5209997217961003e-06,4,3,0.75,True
2766,-0.21359733610965695,0.04128884720483826,-5.1732453330551555,2.3006261783621253e-07,1.5246606677723136e-06,4,4,1.0,True
8573,0.17643625580490638,0.03411186432565028,5.172284168362966,2.3124953948403246e-07,1.5312065760409127e-06,4,3,0.75,True
753,0.113780505576927,0.021997996091323392,5.172312291745753,2.3121472665135802e-07,1.5312065760409127e-06,4,3,0.75,True
1475,-0.2960333582310161,0.05723726364473622,-5.172038972171245,2.3155327286733274e-07,1.5325577143070345e-06,4,3,0.75,True
8706,-0.11110665988897898,0.021484742672649007,-5.171421486486897,2.323198832655101e-07,1.5366387465470547e-06,4,4,1.0,True
9452,-0.29353746980257095,0.05676190717627716,-5.171381378905655,2.3236976167296925e-07,1.5366387465470547e-06,4,3,0.75,True
8140,0.2847142913329878,0.05506118174170598,5.170871425691388,2.3300485015739275e-07,1.5401760839079594e-06,4,4,1.0,True
1431,-0.1271782508107888,0.0245967874929056,-5.170522811056954,2.3343997461667465e-07,1.5423891747878696e-06,4,2,0.5,False
144165,-0.22452839720416168,0.043435025420991855,-5.16929356039121,2.349805412148567e-07,1.551901125935748e-06,4,3,0.75,True
56129,0.15274214507804923,0.02955179535855446,5.168624891476668,2.358226750800015e-07,1.5567941731880737e-06,4,4,1.0,True
90317,-0.1940307380523203,0.037551130966230584,-5.167107702476671,2.37744278437874e-07,1.5688061291769581e-06,4,4,1.0,True
6934,-0.15031279575360698,0.02909124951601373,-5.166941889892525,2.379552038875435e-07,1.5695243499661009e-06,4,3,0.75,True
642819,0.2638034704111269,0.051075410804993775,5.164979904289564,2.404647561439917e-07,1.5853969235479728e-06,3,3,1.0,True
140609,-0.26303670391922657,0.0509332128520031,-5.1643454082414495,2.4128178998760826e-07,1.5901018092839592e-06,4,4,1.0,True
9191,-0.10725746703249632,0.020773007622677864,-5.163309472596712,2.4262152046660297e-07,1.598245877109692e-06,4,3,0.75,True
10235,-0.18213505315793185,0.035283781196470534,-5.1620049490656905,2.4431882962632967e-07,1.608737475590929e-06,4,4,1.0,True
51526,-0.152069823479576,0.02946658380876043,-5.160755127452731,2.459557223368408e-07,1.6188224447469723e-06,4,3,0.75,True
57404,-0.11110317987816778,0.021530314383586397,-5.160313867170799,2.4653616798888757e-07,1.6219484736111026e-06,4,4,1.0,True
79805,0.13662473783549822,0.02647878722683372,5.159780796041977,2.472391491838384e-07,1.6258776384523164e-06,4,4,1.0,True
5719,-0.12371730848404563,0.02398389510247122,-5.158349298788345,2.4913651448032944e-07,1.6376545148076378e-06,4,4,1.0,True
5634,0.12235617735359716,0.023721414708267108,5.158047226877874,2.4953868643556456e-07,1.6395971384388056e-06,4,3,0.75,True
65268,0.16700406572212825,0.0323804075563571,5.15756527867856,2.501816405888826e-07,1.6431194891303163e-06,4,4,1.0,True
51673,0.36321880477719326,0.07046877030874237,5.154323016931264,2.5454883826791857e-07,1.6710881248374243e-06,4,4,1.0,True
