entrez_id,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
3442,-0.0018550532697919951,0.007643328871015797,-0.24270227031922267,0.8082360485723343,0.8633499698995898,3,3,1.0,True
3443,-0.024910001937916065,0.039773709666159326,-0.6262931506011934,0.5311226781110064,0.6402809058949217,2,2,1.0,True
3444,-0.004194220880346215,0.00926214210869026,-0.452834865965937,0.6506676553385319,0.7422382072580002,2,2,1.0,True
3445,0.005404433778849183,0.01670394321773483,0.3235423940564653,0.746284506635136,0.8180002928533233,3,1,0.3333333333333333,False
3446,-0.022984506792821355,0.01860223938443339,-1.2355774118279064,0.21661568524704478,0.3155411808439175,3,2,0.6666666666666666,True
3447,0.011022858726713592,0.015349337301253147,0.7181325493325152,0.4726755623059382,0.5862705177132642,3,2,0.6666666666666666,True
3448,-0.002071058156364818,0.006132888461223292,-0.3376970198397699,0.7355915207937347,0.8097563631285168,3,3,1.0,True
3449,-0.0034221670694383143,0.010271507022036597,-0.33317088350291363,0.7390052953654396,0.8123632848631168,3,2,0.6666666666666666,True
3451,-0.002455866907864807,0.008794755630657111,-0.2792421996699997,0.7800589604679562,0.8423115411279771,2,2,1.0,True
3452,-0.009397192412045586,0.011927536730832312,-0.7878569250391939,0.4307803994168895,0.5463480774124062,3,2,0.6666666666666666,True
3454,0.1070681555997246,0.04743769925674561,2.257026737748028,0.024006404088759727,0.046245787089036865,3,2,0.6666666666666666,True
3455,0.979422959186513,0.08059507089809456,12.152392798622982,5.571085737433703e-34,9.645356988720187e-33,3,3,1.0,True
3456,-0.0025333047121359536,0.014836649998009573,-0.17074640922821607,0.8644231693427687,0.9053174574727616,3,1,0.3333333333333333,False
3458,0.7618734083671755,0.06840876253186362,11.13707338314018,8.279554739992722e-29,1.1051036164573753e-27,3,3,1.0,True
3459,0.4835388431034044,0.05536219308859975,8.734098418564551,2.4560720073786557e-18,1.866493848486529e-17,3,3,1.0,True
3460,-0.15527106538453336,0.04805174137889161,-3.231330664173215,0.001232153079314872,0.002997102882500072,3,3,1.0,True
3467,-0.042811276408501686,0.024113133575195053,-1.775433967343889,0.07582625960120933,0.12853266344476688,3,3,1.0,True
3475,-0.1258650973725779,0.0673803069627927,-1.8679804685674766,0.06176479339983543,0.10738641701170543,3,3,1.0,True
3476,-0.4218187260831841,0.04355178834188127,-9.685451324568115,3.476695359228836e-22,3.2672208271246717e-21,3,3,1.0,True
3479,0.059002815064779876,0.10051571783330583,0.5870008824155193,0.5572031140757852,0.6630188381426744,3,2,0.6666666666666666,True
3480,0.15710730773651327,0.05804243265896023,2.706766421380514,0.00679420420155587,0.014602662810233957,3,1,0.3333333333333333,False
3482,0.12069297414297009,0.05056306757020445,2.386978874954403,0.01698746737582653,0.033769904166975395,3,2,0.6666666666666666,True
3483,-0.054419212055827865,0.034411108866495586,-1.5814431399742885,0.11377675018335613,0.18308919364489,3,3,1.0,True
3484,-0.0065542570838791345,0.017493335103164708,-0.37467167039482413,0.7079046637553756,0.7877440150770341,3,2,0.6666666666666666,True
3485,0.10766993133636224,0.17142152897986895,0.6281004024238201,0.5299381694838405,0.6392896687142463,3,2,0.6666666666666666,True
3486,0.2896693867905513,0.0782947210472015,3.699730747056605,0.0002158283276089658,0.0005826327209251649,3,2,0.6666666666666666,True
3487,0.3366487874317977,0.06078911479642528,5.537978115970105,3.0598348358896786e-08,1.2072226038883808e-07,3,3,1.0,True
3488,2.167151609505351,0.13093050866500375,16.551922325836088,1.5507107419775101e-61,1.0382617775419068e-59,3,3,1.0,True
3489,0.20367001771770954,0.041506672645850326,4.906922302722131,9.251666134588198e-07,3.2161483540331506e-06,3,3,1.0,True
3490,1.2169016457082216,0.12284002325151794,9.906393807957736,3.9048672600120447e-23,3.8979252737720235e-22,3,3,1.0,True
3491,2.0204297401370215,0.10816870587619862,18.678505245772712,7.406421357202431e-78,1.0700762926961593e-75,3,3,1.0,True
3492,0.36790979097413695,0.0596332925267062,6.16953677024243,6.849034801819994e-10,3.060449517340654e-09,2,2,1.0,True
3493,1.0528039243488243,0.15650552430873002,6.726944170175199,1.732631802818015e-11,8.63032284685925e-11,2,2,1.0,True
3494,0.14722181673419635,0.04465390807242557,3.29695256449699,0.000977400072251975,0.0024141874306802644,2,2,1.0,True
3495,1.6732417608656935,0.22537581040725851,7.424229591641236,1.1343824051377319e-13,6.505224731552571e-13,2,2,1.0,True
3500,1.409141695872787,0.2087436158589613,6.750585832645922,1.4724937813606413e-11,7.377698511923748e-11,2,2,1.0,True
3507,1.9515843076242128,0.17034773761254274,11.456473299710657,2.182208033780142e-30,3.1272408168545353e-29,3,3,1.0,True
3508,0.05246284282712106,0.020600433892761127,2.546686302833466,0.010875114445707781,0.022504445723733682,3,3,1.0,True
3512,0.1272249067079369,0.06718310525482711,1.8937038742905647,0.058264326796581216,0.10193131107787867,3,3,1.0,True
3514,1.3965997805340187,0.14268299110896493,9.788130804374964,1.2661484266011982e-22,1.224802781034033e-21,3,3,1.0,True
3516,0.19164505799698411,0.05047214742293398,3.797045851667146,0.0001464307124091232,0.00040421421014299417,3,3,1.0,True
3535,1.6340889983579636,0.26094900790419523,6.262100827598864,3.79825205841036e-10,1.7253100819100267e-09,1,1,1.0,False
3537,1.1967650584291487,0.537643556779306,2.2259451328650472,0.02601785676006978,0.04974055320856488,1,1,1.0,False
3543,0.06134244831201801,0.027089961231618363,2.264397788817116,0.023549659853275035,0.045458074563248144,3,2,0.6666666666666666,True
3547,-0.0847716050567063,0.023130778152266347,-3.664883407668687,0.0002474512851433686,0.0006632886460618491,3,3,1.0,True
3549,-1.0670500138548302,0.06458941887303626,-16.520508040989434,2.611886671394823e-61,1.7207805894261467e-59,3,3,1.0,True
3550,-0.04532524322849563,0.037499165279404584,-1.2087000574753943,0.22677809960098838,0.3278588407011539,3,2,0.6666666666666666,True
3551,0.06036887310897312,0.038053882260881806,1.5864051056633037,0.11264744297778873,0.1814798461762307,3,2,0.6666666666666666,True
3552,1.6364401747571091,0.10283892764131464,15.91265304189815,5.177228898115752e-57,2.756651231828616e-55,3,3,1.0,True
3553,3.327874181247527,0.15437512752690025,21.557061908613722,4.545647855042395e-103,1.3530695892370772e-100,3,3,1.0,True
3554,1.1391273717912769,0.09100833105514014,12.516737298490863,6.047015545367406e-36,1.1662573463219917e-34,3,3,1.0,True
3556,0.7123662327077184,0.05619187251142871,12.677389111082428,7.891699596813086e-37,1.583853210713762e-35,3,3,1.0,True
3557,3.035473971331916,0.1830202641482596,16.585452903034625,8.87937838425583e-62,6.043358742738968e-60,3,3,1.0,True
3558,-0.06252861228601521,0.01720729873193211,-3.6338424328031773,0.00027923142698661323,0.0007437942463753387,3,3,1.0,True
3559,1.1829345942821603,0.09846004747806722,12.014361404260633,2.986679538530985e-33,4.952275481808491e-32,3,3,1.0,True
3560,0.6776725484072222,0.08526532745785674,7.947809134283438,1.898388356736486e-15,1.2109884518856602e-14,3,3,1.0,True
3561,0.19226823213730798,0.0761633940597341,2.5244178586174106,0.0115890084771704,0.023851886324306223,3,1,0.3333333333333333,False
3562,-0.0025703698246777036,0.01218025828836488,-0.21102753027273932,0.8328657890093657,0.8814213828770782,3,3,1.0,True
3563,0.5947534408097371,0.08028232808902912,7.408273463995527,1.2795424961179532e-13,7.304153629641902e-13,3,3,1.0,True
3565,-0.019878837576317403,0.01783974895300884,-1.1143002980972248,0.26515037915657946,0.37345677369833263,3,2,0.6666666666666666,True
3566,0.13469977657097643,0.05368252333762176,2.5091923441045885,0.012100757388479346,0.02481418592627579,3,2,0.6666666666666666,True
3567,0.020969797674676167,0.02124928887023274,0.9868470329871556,0.3237176336344172,0.4376343560367667,3,1,0.3333333333333333,False
3568,0.294791507027098,0.05421248988560081,5.437704625800567,5.397134984122901e-08,2.0844398455172796e-07,3,3,1.0,True
3569,1.4413901008288004,0.1368414556435875,10.533285356032714,6.067897246637761e-26,6.950091301596316e-25,3,2,0.6666666666666666,True
3570,-0.5844588694425226,0.07884648852458412,-7.4126176115032685,1.2383055232067313e-13,7.080207418733049e-13,3,3,1.0,True
3572,0.8024779480090711,0.08154597603758769,9.840803764972756,7.510835986207944e-23,7.360678852647897e-22,3,3,1.0,True
3574,0.11224602338899288,0.06518976444818092,1.7218350816134147,0.08509939759812735,0.14236631345201342,3,2,0.6666666666666666,True
3575,1.819008570455171,0.1459630769986687,12.46211444605105,1.2014233765084695e-35,2.272769214396497e-34,3,3,1.0,True
3576,3.5536940771828873,0.21367866789954332,16.631019427983258,4.154648697517309e-62,2.883279514630973e-60,3,3,1.0,True
3577,0.3740815057887907,0.04053271173384787,9.229126051203833,2.728489521758729e-20,2.313317162819875e-19,3,3,1.0,True
3578,-0.019386122260191783,0.012267161443307625,-1.5803266590876996,0.11403207771135833,0.18346421671899055,3,3,1.0,True
3579,1.911046392763008,0.10792846294614655,17.706602508705878,3.729137054216803e-70,3.8887588446552674e-68,3,3,1.0,True
3581,0.003791993305102021,0.024797127592418006,0.15292066756399095,0.8784608372418755,0.9153628614465532,3,1,0.3333333333333333,False
3586,0.16738195482440493,0.03292382525319089,5.083915782482861,3.697319270408331e-07,1.3296356607672229e-06,3,3,1.0,True
3587,1.0727302338802065,0.08777854803989886,12.220870108179595,2.404967532192095e-34,4.2531945490578315e-33,3,3,1.0,True
3588,-0.4478709089203654,0.04785872822151418,-9.35818659550238,8.1116893884223e-21,7.089048391593963e-20,3,3,1.0,True
3589,0.8399620940033778,0.0858559225062122,9.783391401363156,1.3268834412604408e-22,1.2815473924855531e-21,3,3,1.0,True
3590,-0.20056056788649076,0.029544673848017455,-6.788383209718494,1.133971211754969e-11,5.736259778382118e-11,3,3,1.0,True
3592,-0.006085792728572435,0.012122706292109715,-0.5020160170450952,0.6156562542269094,0.7139693680496632,3,2,0.6666666666666666,True
3593,0.05101049508941275,0.027509092919248326,1.8543139622651938,0.06369425574546024,0.11033138145562457,3,3,1.0,True
3594,0.59181580931647,0.051388470978824374,11.516509404616054,1.0893516748934117e-30,1.5906337163071294e-29,3,3,1.0,True
3595,0.09312995157700904,0.03159626633329772,2.9474986251417956,0.0032035617688395716,0.007296017428184962,3,2,0.6666666666666666,True
3596,-0.09184800557618383,0.03244933410646751,-2.830505096801894,0.004647457071290676,0.010285772140401992,3,3,1.0,True
3597,-0.16630189572883364,0.04056187245937614,-4.099956083028211,4.1322854734345376e-05,0.00012161077415923013,3,2,0.6666666666666666,True
3598,2.2115053413344903,0.1394136885239145,15.862899581450618,1.144838904751089e-56,6.01795531505966e-55,3,3,1.0,True
3600,0.18818489595605678,0.0633493377953251,2.9705897883899266,0.00297228504796125,0.006806940526041031,3,2,0.6666666666666666,True
3601,0.6879515670959628,0.04665224535382919,14.74637634005104,3.246333837776596e-49,1.1829487285561739e-47,3,3,1.0,True
3603,0.6238852664354403,0.06914181716087167,9.023269738251916,1.8255736341846484e-19,1.481689297180221e-18,3,3,1.0,True
3604,1.0039245119404094,0.07249872902085921,13.84747740407369,1.3175851000545824e-43,3.665794761480688e-42,3,3,1.0,True
3605,0.6563347849284528,0.06287409869464128,10.43887385354109,1.6475351958941658e-25,1.8485015690173144e-24,3,3,1.0,True
3606,0.26522335993025337,0.0958399745151781,2.767356327794621,0.005651294871835692,0.012322027279461,3,3,1.0,True
