drug,reversal_score,best_adj_pvalue,l2s2_rank
roscovitine,99.7672720127723,0.0002651727146443663,167
bix-02189,99.63998224714183,0.007369861140014545,168
wz-7043,98.39922684436871,0.013187110953795413,169
pha-767491,98.24787869036244,0.000473444737928305,170
brd-k71489689,97.96463872684825,0.03993588806362347,171
tgx-221,96.41448905850677,0.002462657967152894,172
vorinostat,96.35608723609994,0.001346990876821492,173
brd-k58479490,95.53545821017767,0.15123945388490162,174
az20,95.1247525516585,0.00022892079347802593,175
kin001-127,94.95660262801036,0.005774419169261819,176
tpca-1,94.7504690706716,0.0006924290736658836,177
syk-inhibitor,93.22294990489587,0.0004821828764531507,178
sunitinib,92.33500169957894,0.0001237156582943988,179
kin001-266,91.82456356870732,0.004432108989627616,180
sb-203580,91.54176174107359,0.00785546265999534,181
ponatinib,91.08699618094913,0.005218171340876501,182
dabrafenib,89.83913161085071,0.00015747408685524525,183
cp466722,89.53718457035194,0.0045652011682687415,184
03439,88.51747695452742,0.09165175901122014,185
hy-10344,88.51747695452742,0.05469135126291278,186
talniflumate,88.51747695452742,0.05469135126291278,187
vu0366968,88.51747695452742,0.09165175901122014,188
wz-4002,88.44893312765471,0.0025128934813070645,189
kin001-220,88.21244927252141,0.0016223189505754929,190
mocetinostat,88.11265722199676,0.002246576952107625,191
jnk-in-5a,88.04965656436899,2.5345435224248407e-05,192
dovitinib,86.29713127450897,0.002246576952107625,193
alvocidib,86.12980978065593,0.001327583400028733,194
ink-128,86.02041593888406,0.0004968700181177746,195
tivozanib,85.43941557435218,0.018748714474527074,196
kin236,85.11578837148055,0.0012765632447976495,197
gsk-429286a,85.08062099766347,0.03384849243064676,198
kin001-055,85.02560004624891,0.0004599671221258683,199
nilotinib,84.32412826827823,0.0006635106084947688,200
fluspirilen,84.15711641867613,0.03552193204621196,201
bosutinib,84.07080194769725,0.013187110953795413,202
kin001-043,83.93300721018852,0.0009493089114546635,203
nvp-tae226,83.85593412261298,0.002471968295534692,204
ctb,83.17502982414925,0.0004196096296206588,205
sutent,82.25955726071746,0.014056421904950362,206
gdc-0879,81.426758607529,0.0005565844374003737,207
gw-843682x,80.78261341695345,0.0049493611834519335,208
enzastaurin,80.06473874096699,0.00967746203934834,209
ku-55933,79.28475336537996,0.007462056069228839,210
bix-01294,78.31068667739189,0.01058239543318564,211
a,78.28463692985419,0.007369861140014545,212
mln-8054,78.0364762316088,0.007369861140014545,213
olaparib,77.24783581624675,0.03471406103864715,214
nifedipine,75.64017854811419,0.015309638358522943,215
brd-k33164466,74.63985907553369,0.10210979283956133,216
triacetate,74.63985907553369,0.06330227368100856,217
ncgc00185984-01,74.0656366754054,0.029607414444938612,218
dihydrochloride,73.4351295424248,0.020227496220626282,219
nvp-bgt226,73.11589372039153,0.00702456989741153,220
gw-5074,72.79127352948663,0.014697809505161558,221
hg-9-91-01,71.96161118955528,0.001456408989955568,222
cg-930,71.64218427426115,0.0016178487209713441,223
pf-477736,71.37399740938328,0.004223356504061644,224
brivanib,71.23852426621144,0.0013382834675308049,225
iniparib,70.54130809208947,0.028357657949330636,226
bms-777607,70.43182628771221,0.001077544999940533,227
brd-k89692698,68.99845569524639,0.05336209056423814,228
inca-6,68.99384156820626,0.0675204355527449,229
