entrez,log2FoldChange,pvalue,padj
223,0.08782584275419403,0.6314244019905928,0.8092695704909925
224,-0.2727646125979444,0.22112504656236162,0.4667799746636135
225,1.1158349513175203,0.0039755707777985975,0.04640526120570254
226,-0.12894207230143273,0.1743127307502592,0.41024615328559627
228,-0.4862364713502063,0.2550162262430368,0.5046648818271394
229,-1.2614401151921806,0.0064325588892553565,0.06090722585622657
230,0.32387497192270054,0.06361310609248894,0.23142707641778465
231,-0.20734980213370058,0.35898175176640185,0.6056403521276386
238,-1.366403102933556,0.0054943261896242815,0.05585313434461581
239,-0.6291569186281709,0.17815304281410382,0.41538722217006735
240,0.9943567170520975,0.003583868629264373,0.04373185752436601
241,-0.6006413295124453,0.0646844521228193,0.23398760497610105
242,-0.5446726909004278,0.0547243419298705,0.21296236661252263
245,0.4931290266675461,0.15573597664567876,0.3851036920810306
246,-0.5510001833772078,0.17429919050068451,0.41024615328559627
247,-0.3436287296490095,0.27515584650164804,0.5270154214589067
248,-0.46215647234157897,0.04720668087470822,0.19541268250624622
249,0.026880035221272358,0.9489606379470701,0.9791369326852515
250,-0.39234264493372084,0.01197387611149214,0.08581983962443852
251,-1.206765225022166,0.0018131246712511388,0.02988303036204817
257,-0.06149677356338845,0.8528958607288172,0.9336429552120988
258,-0.17211262431813967,0.5596145752906208,0.7618457710899867
259,-0.14945349106153127,0.473149023372644,0.7011025194715138
262,-0.21550206414254625,0.4318540196733766,0.6674747002331095
265,-0.24703083906633427,0.25179718030408765,0.501109650535712
266,-0.15289827250754584,0.48781183619307045,0.7122593780040651
267,0.41587940070466356,0.23003679990860942,0.4776403566160632
269,-0.4844001274346934,0.1070571662323443,0.31243317728866166
270,0.9757232940906286,0.006550826381456127,0.06149681774012934
271,-0.09110921842894015,0.6159013155157157,0.7987503790965367
272,0.7826422921954848,0.021589915187406206,0.1224787026467659
273,-0.44879693998190984,0.22472980580241017,0.4713529991241628
274,-0.9154831074928262,0.00017962943043593437,0.00855204819234937
275,-0.2222020904612947,0.4215931308676264,0.6600017606130831
283,-0.009415392460162764,0.9775641054189375,0.9907084302845732
284,-0.27352428763660086,0.19327469162952127,0.4358989495496267
285,0.5456583402531567,0.022591481878672322,0.12588296841771826
286,0.8739355985298136,0.0686737258943437,0.24174670364986742
287,-0.6749494269378751,0.19160720079269447,0.4337172002504073
288,-0.7372110733314319,0.04019181684189177,0.17893991102654833
290,-0.3013538814895025,0.21856300692070432,0.46392069758183024
291,-0.6877618224766522,0.0048684425415549725,0.05213046859849565
292,-0.21347549090955908,0.12574618335822796,0.34056536475971794
293,-0.1605563926977691,0.15264111605663103,0.38016117012293604
301,-0.2540994970450061,0.017241445076693684,0.1072859873342545
302,-0.3313231046608678,0.002674320671167059,0.03724492969725973
303,0.0673004809897737,0.8218936697061829,0.9169966273814778
304,-0.19934742616382373,0.17155173452298092,0.4069719259422531
305,0.33895808159079976,0.18314661990601533,0.4221636631184173
306,-0.25630959796225206,0.5989721930703711,0.7882646691582257
307,0.28248158709840254,0.15953925577099343,0.3906607952027523
308,-0.10810514774189173,0.22424397329429926,0.47073277973781164
309,0.1302374220945115,0.5513913999007407,0.7567071850704074
310,-0.28993259650257386,0.031019570056181712,0.15282093291220364
311,-0.27764806121852814,0.12134442571739784,0.3344363436315122
312,-0.5034568240280484,0.16058862961721151,0.3921530338367478
313,0.683969298444393,0.10872359226550518,0.31479831164920113
314,-0.5779165204466006,0.1373762165195452,0.35813382453581083
316,-0.18561635925599518,0.7705760227405279,0.8894470461767031
317,-0.21688076950002788,0.5512283719892246,0.7567071850704074
318,0.2612870425639606,0.6042984277279579,0.7910773466946742
319,-0.11259150712244459,0.8612222223301307,0.9371332542329477
320,0.4146440653293153,0.2513195340913642,0.5006842358657013
321,2.038265154405088,6.237993107600302e-05,0.004894408465375265
322,-0.48966374550368386,0.006193189924678769,0.05958672326926468
323,-0.8396915342281934,0.18894008774342214,0.4301779886774983
324,-0.9450293201327344,0.005930350862805539,0.05806063632508604
325,-0.48403423645570687,0.05126658228340324,0.20549977568287003
