probe,log2FoldChange,pvalue,padj
200799_at,0.10553419665176911,0.5509489540484463,0.7566592014213578
200800_s_at,-0.35978168206904826,0.12502514008823543,0.33960535978634326
200801_x_at,-0.47032446630866964,6.079846317485365e-05,0.004837308731506961
200802_at,0.15149780840841842,0.19705515016641098,0.44064023192756
200803_s_at,-0.029355009823932576,0.8080346112322508,0.90926499815257
200804_at,-0.1265294035380311,0.21039034633066586,0.4554233618890837
200805_at,0.11753902699950203,0.3003196151228123,0.5515554260101893
200806_s_at,-0.4106061975167119,0.1129676474157801,0.3214182233727367
200807_s_at,-0.3446794099610475,0.07151684682139213,0.2470740309156739
200808_s_at,-0.08182695971779275,0.6483361088977756,0.8210501900922711
200809_x_at,-0.199482744961335,0.07122512826957655,0.24679047321271566
200810_s_at,-0.5292350690699195,0.009763520393513516,0.0766328020178449
200811_at,-0.4073346278504655,0.020085328414970245,0.11716266310753455
200812_at,-0.04551935575937449,0.7724224080185681,0.8901674500689835
200813_s_at,0.13448021895259643,0.19167720768507665,0.43377803866090886
200814_at,0.2915548100123182,0.07921853502906154,0.26190156139936915
200815_s_at,0.13815897309047998,0.3410550638643051,0.5898121837864425
200816_s_at,0.2528191645228972,0.015133012776278227,0.09894628042658678
200817_x_at,-0.288044124038608,0.011160449332820926,0.08266337040722253
200818_at,0.2595907587324646,0.04026630496041613,0.17912838359611752
200819_s_at,-0.36189182156758193,0.0005630098779780461,0.015388933911697747
200820_at,-0.49248375359799823,0.004670235799588502,0.0506408098891633
200821_at,0.06521448462544122,0.7425685513534098,0.8749553356802953
200822_x_at,0.18576247856191408,0.07864714673085199,0.26098203583076324
200823_x_at,-0.21326627769511752,0.16828108603388126,0.40246940432467276
200824_at,0.04026866119837891,0.6429064671891075,0.8172676597852064
200825_s_at,0.07853328494162959,0.7035257104976429,0.8528268636176138
200826_at,0.1527742380561481,0.23473881895139018,0.4819647780981425
200827_at,0.09828375334480377,0.6115303262035152,0.7956566569532543
200828_s_at,0.011551398477250174,0.9276177622035131,0.9691776970242979
200829_x_at,0.20957651229062435,0.1464695589827652,0.3714752086060729
200830_at,0.05008154774657925,0.4737178617025403,0.7014789415415807
200831_s_at,-0.4753424688484742,0.4233690536667207,0.6613805820846563
200832_s_at,-0.5873771121483138,0.15104474704319124,0.37825141322745526
200833_s_at,0.10885815341331195,0.27028870057676874,0.5214582783508345
200834_s_at,-0.24734979495244147,0.03185489083538047,0.15546541193980226
200835_s_at,-1.7114856965781193,0.0051756319604169985,0.053816428825931864
200836_s_at,-0.7295697897645947,0.00044930133494680487,0.013733582505651102
200837_at,0.019434301414579025,0.8907287098090476,0.9511265018533165
