entrez_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,dataset
83648,180.28645931467992,-1.578094738923884,0.1927464866194155,-8.187411177252145,2.66905075201661e-16,3.9811138197158636e-14,GSE213001
587,375.832176810336,-0.6358220046802345,0.0777509044170286,-8.17767985398482,2.893613392066361e-16,4.273753505047032e-14,GSE213001
83547,250.07392850332656,-0.5729518606567825,0.0701915083065894,-8.162694811374989,3.2763156403659033e-16,4.792009235156536e-14,GSE213001
4311,1027.58422027334,-1.4644118875515444,0.1795382563206648,-8.156545115020096,3.4474377182007227e-16,4.9462523071137045e-14,GSE213001
23401,223.27315537683816,-0.6771385392869883,0.0830118831605394,-8.15712779310701,3.430853356559982e-16,4.9462523071137045e-14,GSE213001
83606,1230.2195378007696,-0.4330347503498428,0.0531249819587842,-8.151245127684048,3.6019615577383036e-16,5.119202912012034e-14,GSE213001
6992,896.9339614793442,-0.262050090195761,0.0321581414030082,-8.148794636845764,3.675695468353529e-16,5.175173105677188e-14,GSE213001
5066,3552.2670933635873,0.3727113098492997,0.0458393578780123,8.130814372250988,4.2641590587056873e-16,5.94810705735196e-14,GSE213001
1117,818.357686729623,-1.8582596417104815,0.2286390528137983,-8.12748136786515,4.383019712293585e-16,5.979970430482855e-14,GSE213001
57553,389.00528670899473,0.7182972752896091,0.088368647575753,8.128417657109178,4.3493041323229004e-16,5.979970430482855e-14,GSE213001
6888,1340.0472150416388,-0.5081634389418394,0.0625289942303189,-8.126844917256673,4.4060850831967933e-16,5.979970430482855e-14,GSE213001
92086,161.13405151085354,-2.040227014619057,0.2512169002031719,-8.121376439917144,4.609259372555498e-16,6.199865397102552e-14,GSE213001
6307,870.6812898241207,-1.1668868997908377,0.1438300682952026,-8.112955195125627,4.940329118330618e-16,6.586376828995643e-14,GSE213001
389376,800.0998776855313,-1.5595156662656218,0.1924341331352617,-8.10415304632801,5.31142113636685e-16,7.018996440295312e-14,GSE213001
7263,276.18350465660444,-0.8085929202172204,0.0997953085177943,-8.102514358909382,5.383478634768288e-16,7.052357011546456e-14,GSE213001
255738,216.0917279195101,-1.718656767008192,0.2122030635053493,-8.099113832844674,5.53609645784923e-16,7.189766649784366e-14,GSE213001
2281,51.12195257485874,-0.7309837089645974,0.0902680600543946,-8.0979219950458,5.590589566191991e-16,7.198481351682251e-14,GSE213001
29956,2443.000331359968,-0.4395607864698795,0.0543336691762394,-8.090025818872972,5.965208576188921e-16,7.615751457651364e-14,GSE213001
2878,17377.986721584268,-1.161863825305291,0.143746603002089,-8.082721963790727,6.333691437136245e-16,8.01824046222332e-14,GSE213001
5833,414.6023947422014,-0.7747656399618335,0.09590357841582,-8.07858948289285,6.552018746210978e-16,8.2255135343057e-14,GSE213001
60675,47.495992268523125,-2.1580860439528697,0.2674939678872085,-8.067793307633943,7.158009099309773e-16,8.91201711414064e-14,GSE213001
79674,474.12131106993434,-1.6148264473363634,0.2003403281943996,-8.060416302050887,7.603505860010727e-16,9.389083260742755e-14,GSE213001
7227,379.2888643634447,0.6023975931842814,0.0747808620605153,8.05550479876522,7.915146378594581e-16,9.694445544189219e-14,GSE213001
51435,1141.6265112764547,0.9212917058528336,0.1144889034187372,8.046995633133605,8.485120835090808e-16,1.0308737530697017e-13,GSE213001
116071,123.07367928640468,-1.1797392366569146,0.1466494481425739,-8.044621044260333,8.651271253723777e-16,1.0426512114987897e-13,GSE213001
