"","gene_id","log2FoldChange","stat","pvalue","padj","dataset"
"6505","6505",-0.808200000000001,-8.10509148225956,1.38568148799881e-10,2.36720587533131e-08,"GSE53845"
"1029","1029",1.894125,8.10350608206328,1.39338836590125e-10,2.37049473037142e-08,"GSE53845"
"83879","83879",1.5034625,8.0908917496473,1.45626568360748e-10,2.46722698462424e-08,"GSE53845"
"79953","79953",1.4877325,8.08482656530072,1.48750688264656e-10,2.50978527524728e-08,"GSE53845"
"100820829","100820829",-1.731435,-8.05513062007666,1.65048137452742e-10,2.7620300553316e-08,"GSE53845"
"84419","84419",2.550795,8.04394886219235,1.71640385493266e-10,2.86067309155443e-08,"GSE53845"
"57222","57222",-0.601805,-8.03245367267058,1.7869371383766e-10,2.96617095843889e-08,"GSE53845"
"9729","9729",-1.5171675,-8.03044979299648,1.79952790243564e-10,2.97502596773633e-08,"GSE53845"
"408","408",-1.2224325,-8.02876175333754,1.81020341226827e-10,2.98065622100398e-08,"GSE53845"
"9580","9580",-0.864355,-8.01069632404183,1.92852070779515e-10,3.1376725801429e-08,"GSE53845"
"55902","55902",-0.932442500000001,-8.00431234721608,1.97216684054288e-10,3.19600159929874e-08,"GSE53845"
"10497","10497",-1.215145,-7.97220050409932,2.20725188555896e-10,3.52165268421853e-08,"GSE53845"
"57670","57670",-0.980187500000001,-7.97217169489071,2.20747497522966e-10,3.52165268421853e-08,"GSE53845"
"10948","10948",-0.6305925,-7.96772480893885,2.24218362902218e-10,3.56316003061664e-08,"GSE53845"
"79041","79041",-1.2002275,-7.95769352565043,2.32250854318849e-10,3.66241731810493e-08,"GSE53845"
"51283","51283",-0.698895,-7.95273463446688,2.36327927867565e-10,3.71243105079316e-08,"GSE53845"
"1513","1513",1.90233,7.92498316959683,2.60509835915e-10,4.04579669413446e-08,"GSE53845"
"201633","201633",1.5293675,7.92080025379358,2.64364590255187e-10,4.09016913225007e-08,"GSE53845"
"11145","11145",-0.8892725,-7.91591422349557,2.68939992705199e-10,4.14531567703503e-08,"GSE53845"
"7188","7188",0.979282500000001,7.91189236784529,2.72765851893194e-10,4.17291042075409e-08,"GSE53845"
"10518","10518",0.731805,7.91055412803325,2.74050972427804e-10,4.17698508161337e-08,"GSE53845"
"3067","3067",2.5107675,7.9033897772065,2.81035210231943e-10,4.20566981293533e-08,"GSE53845"
"2584","2584",-0.5927775,-7.90336280847805,2.81061836279093e-10,4.20566981293533e-08,"GSE53845"
"114800","114800",-1.836415,-7.90610355441341,2.7836884328417e-10,4.20566981293533e-08,"GSE53845"
"221395","221395",-0.594125,-7.90454830947675,2.79893790506553e-10,4.20566981293533e-08,"GSE53845"
"8706","8706",-0.543567500000001,-7.90003320349972,2.84368697944307e-10,4.22639604045363e-08,"GSE53845"
"2669","2669",1.9577775,7.89249364478383,2.92002080079591e-10,4.32205244883149e-08,"GSE53845"
"57530","57530",-0.925590000000001,-7.89035981331388,2.94199636679034e-10,4.32999046802248e-08,"GSE53845"
"1896","1896",-0.887972500000001,-7.87831458002715,3.06920167484561e-10,4.47819461454342e-08,"GSE53845"
"54749","54749",-0.4371175,-7.8733224518521,3.1235293500995e-10,4.52525453547984e-08,"GSE53845"
"6337","6337",-1.1463,-7.86520938099109,3.21389151561923e-10,4.63817620330786e-08,"GSE53845"
"1457","1457",-0.8820575,-7.86430744653189,3.22409809254327e-10,4.63817620330786e-08,"GSE53845"
"84627","84627",1.7958925,7.84095302125076,3.50003879783858e-10,5.00005542548368e-08,"GSE53845"
"84969","84969",-1.720105,-7.83525533855814,3.5708874428759e-10,5.06596488435681e-08,"GSE53845"
"23171","23171",-0.998175,-7.83375777982858,3.58974714317278e-10,5.07515975414082e-08,"GSE53845"
"5832","5832",0.826060000000001,7.82615657569659,3.6870291182814e-10,5.18082344079018e-08,"GSE53845"
"836","836",0.5580025,7.82594633377084,3.6897571822213e-10,5.18082344079018e-08,"GSE53845"
"4133","4133",-0.992557500000001,-7.82242662269721,3.73573087232361e-10,5.20969271310436e-08,"GSE53845"
"11000","11000",-1.0963825,-7.81873914069201,3.78451374158668e-10,5.25983265779844e-08,"GSE53845"
"5525","5525",-0.6215025,-7.81638273230035,3.81602224883112e-10,5.28570649331337e-08,"GSE53845"
"6926","6926",-1.2485925,-7.80224660351587,4.01065642935068e-10,5.49956232787216e-08,"GSE53845"
"27443","27443",-0.4263025,-7.7905991542805,4.17850246724627e-10,5.69164787897333e-08,"GSE53845"
"5745","5745",-1.2480975,-7.78957015125421,4.19366617272608e-10,5.69338785038971e-08,"GSE53845"
"57514","57514",-0.9040425,-7.78614204489952,4.2445840055775e-10,5.74349650919728e-08,"GSE53845"
"2735","2735",1.593375,7.78004925631208,4.33661900071048e-10,5.83192550884912e-08,"GSE53845"
"4257","4257",-1.1037425,-7.77993371170771,4.33838361024142e-10,5.83192550884912e-08,"GSE53845"
