entrez_id,gene_id,log2FoldChange,stat,pvalue,padj,dataset
6782,6782,-0.287663160317461,-4.37957719315398,2.6187945815989e-05,0.0045332313147783,GSE38958
84905,84905,0.11467322063492,4.36936201447593,2.72613871444463e-05,0.0046403992429937,GSE38958
10009,10009,-0.224530682539683,-4.37081676035354,2.71059706929055e-05,0.0046403992429937,GSE38958
51182,51182,-0.180612371428572,-4.36647589143604,2.75722675977283e-05,0.0046569346234054,GSE38958
9447,9447,-0.3464026,-4.33770769138457,3.08635647631697e-05,0.0047415267208826,GSE38958
3655,3655,-0.493383587301587,-4.34814293397939,2.96282094705477e-05,0.0047415267208826,GSE38958
5217,5217,-0.233969306349206,-4.34539835902149,2.99484267321333e-05,0.0047415267208826,GSE38958
5783,5783,-0.267875038095238,-4.34343539222598,3.01794923238298e-05,0.0047415267208826,GSE38958
3111,3111,-0.230254861904762,-4.33996631177094,3.05920488910001e-05,0.0047415267208826,GSE38958
58500,58500,-0.172983573015873,-4.33896369703229,3.07122913896635e-05,0.0047415267208826,GSE38958
57494,57494,-0.2333757,-4.35469595431733,2.88769248999677e-05,0.0047415267208826,GSE38958
10808,10808,-0.372186333333334,-4.33738798614861,3.09021844302064e-05,0.0047415267208826,GSE38958
80258,80258,-0.276236303174603,-4.34037038079939,3.05437175485677e-05,0.0047415267208826,GSE38958
55335,55335,-0.318714476190476,-4.32876347454617,3.19617325939931e-05,0.0048135401185383,GSE38958
84216,84216,-0.199695803174603,-4.33144165962358,3.16290219705327e-05,0.0048135401185383,GSE38958
80063,80063,-0.440161301587302,-4.32818290571326,3.20342994854073e-05,0.0048135401185383,GSE38958
9263,9263,-0.348035690476191,-4.31890448788335,3.32157728855381e-05,0.0048777995387126,GSE38958
64318,64318,-0.328641646031746,-4.31609578149795,3.35816123620178e-05,0.0048777995387126,GSE38958
9241,9241,-0.600878355555555,-4.31849300414709,3.3269128684254e-05,0.0048777995387126,GSE38958
90075,90075,-0.233293361904762,-4.3176847704908,3.33741699497274e-05,0.0048777995387126,GSE38958
56479,56479,-0.179909076190476,-4.31189355064735,3.41362089202496e-05,0.0048931560523315,GSE38958
9710,9710,-0.20281153968254,-4.30949434780702,3.44567881465118e-05,0.0049068267982758,GSE38958
7994,7994,-0.208352428571429,-4.30372254309387,3.52399190795366e-05,0.0049224409307612,GSE38958
1662,1662,-0.306113704761905,-4.30369128028707,3.52442071414884e-05,0.0049224409307612,GSE38958
4863,4863,-0.331836417460318,-4.30604852629462,3.49222868259523e-05,0.0049224409307612,GSE38958
84955,84955,-0.29927333015873,-4.3006672236304,3.56613727925248e-05,0.0049489808305957,GSE38958
7259,7259,-0.186723733333333,-4.29692214680871,3.61845876948638e-05,0.0049898088398461,GSE38958
84851,84851,-0.212144477777778,-4.29206675923753,3.68739197746537e-05,0.0050157084746012,GSE38958
84190,84190,-0.215833377777778,-4.29386827244765,3.66166934446088e-05,0.0050157084746012,GSE38958
57147,57147,-0.229304698412698,-4.28543690107163,3.78356005706898e-05,0.0050886547236678,GSE38958
9500,9500,-0.1694649,-4.28164227022967,3.83968268136571e-05,0.00510115891839,GSE38958
388566,388566,-0.228137428571428,-4.2791239009275,3.87737031382032e-05,0.0051200087513646,GSE38958
22807,22807,-0.425936257142857,-4.27253064252603,3.97773089442345e-05,0.0051486925944406,GSE38958
84441,84441,-0.307661004761905,-4.27150174599372,3.99361597420815e-05,0.0051486925944406,GSE38958
1991,1991,0.32839989047619,4.27382459783027,3.95783979345307e-05,0.0051486925944406,GSE38958
25780,25780,-0.479302514285715,-4.26175072363662,4.14721988407396e-05,0.0052534666764071,GSE38958
23461,23461,-0.360147882539683,-4.26375355387253,4.11521388658004e-05,0.0052534666764071,GSE38958
148266,148266,-0.19444739047619,-4.26183526744472,4.14586401890281e-05,0.0052534666764071,GSE38958
55081,55081,-0.384630204761905,-4.25729028647055,4.21936127719405e-05,0.00531395627211,GSE38958
79820,79820,-0.140094958730158,-4.25315665662519,4.28729247215047e-05,0.0053684786427134,GSE38958
973,973,-0.634735987301587,-4.249845218581,4.34246886128577e-05,0.0053778130852411,GSE38958
63929,63929,-0.143419717460318,-4.24974723126057,4.34411191023705e-05,0.0053778130852411,GSE38958
