sample_id,PC1,PC2,PC1_zscore,PC2_zscore,outlier,condition,dataset
ipf_1038,-7.177152865915815,8.625839605909006,-0.2481577125047733,0.3466137653203453,False,IPF,GSE150910
ipf_1041,9.170484707218236,29.228077219183355,0.31707928617637116,1.174477426067018,False,IPF,GSE150910
ipf_1042,2.1797147769575007,38.62065259602256,0.07536596239038086,1.551901081752802,False,IPF,GSE150910
ipf_1043,-2.028771989073361,27.056209346077456,-0.07014695456649753,1.0872048432613013,False,IPF,GSE150910
ipf_1048,0.15516392093225462,33.175534106024024,0.005364957999526531,1.3330988423579353,False,IPF,GSE150910
ipf_1049,6.87322564927371,27.574285736523617,0.23764910494702923,1.108022806105533,False,IPF,GSE150910
ipf_1053,5.67310012194942,13.520695636578544,0.1961534852851261,0.5433047028992357,False,IPF,GSE150910
ipf_1056,12.592421734498432,53.22086906398636,0.43539640730917856,2.138584377021396,False,IPF,GSE150910
ipf_1057,0.7656314793847273,32.15925913639254,0.026472524703779664,1.2922616705673213,False,IPF,GSE150910
ipf_1060,-8.913395529800656,32.38027051145843,-0.30819015376278425,1.3011426129903332,False,IPF,GSE150910
ipf_1061,-17.612343943669497,3.229901137831001,-0.6089655698521367,0.12978773616763692,False,IPF,GSE150910
ipf_1063,-19.52229726690168,42.336951218056335,-0.6750042423646121,1.7012338212064233,False,IPF,GSE150910
ipf_1067,-3.7808136671271724,11.409158600526009,-0.13072566358405716,0.4584564056763008,False,IPF,GSE150910
