gene,score_dn,adj_p_dn,score_up,adj_p_up,reversal_score
CLDND1,48.89078285819952,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.07854744498187
CDKL4,48.89078285819952,0.000453250196222031,49.26703313987476,0.00026988822898898535,49.07854744498187
NETO2,35.96878960319749,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.95702903155166
KCNA10,35.96878960319749,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.95702903155166
NEURL3,47.7858596099108,0.000453250196222031,50.03179670011319,0.00026988822898898535,48.89593452571704
CD74,50.03179670011319,0.000453250196222031,47.7858596099108,0.0002713703025376255,48.89593452571704
HSD17B4,48.1502529637702,0.000453250196222031,49.64735123586094,0.00026988822898898535,48.89307232101347
UTS2R,48.1502529637702,0.000453250196222031,49.64735123586094,0.00026988822898898535,48.89307232101347
EP300,49.64735123586094,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.89307232101347
NME1-NME2,48.51854193085795,0.000453250196222031,49.26703313987476,0.00026988822898898535,48.891355199114514
GRIN2B,48.51854193085795,0.000453250196222031,49.26703313987476,0.00026988822898898535,48.891355199114514
ADAM19,48.51854193085795,0.000453250196222031,49.26703313987476,0.00026988822898898535,48.891355199114514
NUDT1,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
CSNK2A2,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
WHSC1L1,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
PIKFYVE,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
LILRB4,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
CXCR1,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
CACNB3,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
CPE,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
LILRB1,48.89078285819952,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.89078285819952
FERMT3,36.25474367187441,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.78257104799678
PKLR,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
LAT,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
GNE,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
ARIH2OS,66.63528903911535,0.00012443682497553899,35.68594204325646,0.0011002477117794851,48.76415756152784
SDHB,66.63528903911535,0.00012443682497553899,35.68594204325646,0.0011002477117794851,48.76415756152784
PLPP3,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
NDUFA13,66.63528903911535,0.00012443682497553899,35.68594204325646,0.0011002477117794851,48.76415756152784
MRPL16,66.63528903911535,0.00012443682497553899,35.68594204325646,0.0011002477117794851,48.76415756152784
P2RY12,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
KCNT2,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
OTC,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
KDELR3,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
SFRP1,66.63528903911535,0.00012443682497553899,35.68594204325646,0.0011002477117794851,48.76415756152784
GBF1,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
IGSF6,35.68594204325646,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.76415756152784
ATP8B2,67.14129829198822,0.00012443682497553899,35.40615590806419,0.0011002477117794851,48.75669467053708
SYK,35.12938694213557,0.0016209275223648388,67.65278573788646,6.12915892724042e-05,48.75039372045732
QARS,34.584727540369165,0.0016209275223648388,68.69251988203348,6.113652376246267e-05,48.74127700606048
PCTP,47.7858596099108,0.000453250196222031,49.64735123586094,0.00026988822898898535,48.70771351809467
MYCN,47.7858596099108,0.000453250196222031,49.64735123586094,0.00026988822898898535,48.70771351809467
CELA1,49.26703313987476,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.70544228789448
ZBTB38,49.26703313987476,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.70544228789448
PMEPA1,48.1502529637702,0.000453250196222031,49.26703313987476,0.00026988822898898535,48.70544228789448
BMPR2,48.1502529637702,0.000453250196222031,49.26703313987476,0.00026988822898898535,48.70544228789448
PHLDA1,49.26703313987476,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.70544228789448
GJB4,48.89078285819952,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.70430677196858
TBX2,48.89078285819952,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.70430677196858
FLT3,48.51854193085795,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.70430677196858
CNIH3,48.51854193085795,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.70430677196858
NPRL2,48.51854193085795,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.70430677196858
NBAS,36.543850183093305,0.0016209275223648388,64.66446989952124,6.12915892724042e-05,48.61161075481094
BIRC7,35.96878960319749,0.0016209275223648388,65.63938941592905,6.12915892724042e-05,48.58980744542934
PECAM1,35.68594204325646,0.0016209275223648388,66.13467868968416,6.12915892724042e-05,48.58063720011768
SLC2A13,35.40615590806419,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.572620195927655
OXER1,35.40615590806419,0.0016209275223648388,66.63528903911535,6.12915892724042e-05,48.572620195927655
TCF7L2,35.12938694213557,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,48.56575591398326
C1ORF186,35.12938694213557,0.0016209275223648388,67.14129829198822,6.12915892724042e-05,48.56575591398326
SUV39H2,49.64735123586094,0.000453250196222031,47.42530654144766,0.00027633824453739803,48.523611276693174
TFPI2,48.89078285819952,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.51910512590959
AXIN2,48.89078285819952,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.51910512590959
SLC23A2,48.89078285819952,0.000453250196222031,48.1502529637702,0.00026988822898898535,48.51910512590959
HPSE,48.1502529637702,0.000453250196222031,48.89078285819952,0.00026988822898898535,48.51910512590959
AGXT,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
BCL2L1,48.51854193085795,0.000453250196222031,48.51854193085795,0.00026988822898898535,48.51854193085795
