drug,net_trace,weighted_trace,vae_score,baseline,sig_reproducibility,n_cell_lines,reversal_rank,reversal_pct
AS-703026,0.0233911963270768,0.0508509881008465,0.19943246,-0.0865543071161049,0.0,7,201,11.368778280542987
diazoxide,0.0233191858400539,-0.0109834318563271,0.10301834,0.0,0.0,7,202,11.425339366515837
torcetrapib,0.0232874856206986,-0.0014827209155908,-0.07808381,0.0,0.0,7,203,11.481900452488688
docetaxel,0.0232489778064365,0.0116890527150249,0.1254998,-0.077003745318352,0.0,7,204,11.538461538461538
CEP-32496,0.0232486468188229,0.0450789785290301,0.0049299104,0.0,0.0,7,205,11.595022624434389
semagacestat,0.023170887153084,-0.031246769946065,-0.046262175,0.0,0.0,9,206,11.65158371040724
cabergoline,0.0225867658711242,0.0059705187342428,0.093728215,-0.0577902621722846,0.0,7,207,11.70814479638009
avagacestat,0.0224909969640139,-0.0125805655487113,0.06720373,-0.1022097378277154,0.0,7,208,11.76470588235294
naftopidil,0.0224842500797922,0.0181644183726642,0.029055486,0.0,0.0,7,209,11.82126696832579
isbufylline,0.0224655504255866,0.0174970748180562,-0.08436895,-0.0690262172284644,0.0,7,210,11.877828054298641
TAK-285,0.0224179207812606,0.0313656174670476,-0.03964083,-0.0663295880149812,0.0,7,211,11.934389140271493
PF-04620110,0.0222492063763728,0.0307754554875943,0.0035284215,0.0,0.0,7,212,11.990950226244344
mepacrine,0.0221167884030149,0.0040860468957099,0.17399012,0.0,0.0,7,213,12.047511312217194
linsidomine,0.0219730691134118,0.0287089998351832,-0.000533702,-0.0674157303370786,0.0,7,214,12.104072398190045
budipine,0.0218858486748815,0.0138414331394821,-0.393383,-0.0622659176029962,0.0,7,215,12.160633484162895
tamsulosin,0.0218197807887073,-0.0202597813514179,-0.031194989,0.0862734082397004,0.0,7,216,12.217194570135746
KIN001-266,0.0217163890697113,0.0074182084728271,0.27358952,0.0,0.0,22,217,12.273755656108596
FK-888,0.0217137729654851,0.0078907565231482,-0.01786159,0.0,0.0,7,218,12.330316742081449
XMD-16144,0.0216280359311507,0.0391665576195673,0.26692528,0.0,0.0,13,219,12.386877828054299
honokiol,0.0215898884942584,0.0013130827478136,0.0016033725,-0.0630898876404494,0.0,7,220,12.44343891402715
felbinac,0.021480868236439,-0.0170486338142444,-0.026083622,0.0,0.0,7,221,12.5
AZD-9668,0.0210455414253661,-0.0096167421991855,-0.026482178,0.0,0.0,7,222,12.55656108597285
GDC-0980,0.0210094532160756,0.0088957866848519,-0.2095201,0.0,0.0,15,223,12.613122171945701
aripiprazole,0.020991794559453,-0.0096989883969295,-0.028449664,0.0,0.0,7,224,12.669683257918551
delivert,0.0209257788548467,0.0021140508774942,0.050115913,0.0893071161048689,0.0,7,225,12.726244343891402
luliconazole,0.0209150506923765,0.0005698714002463,-0.0046236636,0.0,0.0,7,226,12.782805429864252
temoporfin,0.0208685894216014,0.0131058235731606,0.1247822,-0.0873220973782771,0.0,7,227,12.839366515837103
meisoindigo,0.0207003793656349,-0.0098357796739186,0.16789438,0.0,0.0,7,228,12.895927601809957
cariprazine,0.0206913040520253,0.0034698193570674,-0.05802671,0.0,0.0,7,229,12.952488687782807
3-amino-benzamide,0.0201897854073093,-0.038601038271924,-0.75269693,0.0,0.0,7,230,13.009049773755658
N6022,0.0201119377985594,0.0134901069747306,-0.020482972,0.0,0.0,7,231,13.065610859728508
macitentan,0.0199209575890323,0.0115062527554847,0.20004366,-0.0758052434456928,0.0,7,232,13.122171945701359
AZD-1981,0.0197783625786669,0.0106369416230096,-0.026001321,0.0,0.0,7,233,13.17873303167421
nesbuvir,0.0197245101761484,-0.0034794034637369,-0.0031798119,0.0,0.0,7,234,13.23529411764706
BIX-01294,0.0196674624750683,0.0154907095090255,0.11274246,0.0747191011235955,0.0,19,235,13.29185520361991
celecoxib,0.0196296244167052,-0.0033030002460749,-0.040471453,0.0663295880149812,0.0,7,236,13.34841628959276
andarine,0.019285074046503,-0.0044150476340885,-0.06376659,0.0,0.0,7,237,13.404977375565611
GSK-461364,0.0192333752826862,0.0320136622234944,0.081358135,-0.0968726591760299,0.0,21,238,13.461538461538462
atipamezole,0.0192149068485871,0.0331309217230836,0.012812733,0.0888576779026217,0.0,7,239,13.518099547511312
laropiprant,0.0192011613345233,0.0256294550679558,0.026939273,-0.0687453183520599,0.0,7,240,13.574660633484163
methoxsalen,0.0191581451377523,-0.016468477975498,-0.0058989436,-0.0682397003745318,0.0,7,241,13.631221719457013
ketoconazole,0.0189904458649691,0.0300481517651401,-0.007156855,0.0,0.0,7,242,13.687782805429865
ranitidine,0.018869745600198,-0.0072769062540799,0.0135751935,0.0,0.0,7,243,13.744343891402716
PF-03758309,0.0187213175328279,0.0028484894234224,-0.07353506,0.0,0.0,21,244,13.800904977375566
AZ-628,0.0187093381445363,0.0269333379048885,0.08231515,0.0,0.0,24,245,13.857466063348417
indole-3-carbinol,0.018538623198821,0.0090011511618245,0.060705084,-0.0750374531835205,0.0,7,246,13.914027149321267
gemifloxacin,0.0184861629576393,-0.0354257470655427,-0.079989575,0.0,0.0,7,247,13.970588235294118
BMS-509744,0.0184625618162064,0.0346185410101376,-0.05033313,0.0,0.0,22,248,14.027149321266968
amoxapine,0.018457763103603,0.0026743645972717,0.020207128,0.0,0.0,7,249,14.083710407239819
compound e,0.0183930562165133,-0.033934278340633,-0.02886355,0.0,0.0,5,250,14.14027149321267
JWE-035,0.0183395658096769,0.0260665998167843,-0.031998407,0.0,0.0,19,251,14.19683257918552
carfilzomib,0.0181505730702242,0.0114724261279364,0.07557786,0.0,0.0,7,252,14.25339366515837
