drug,baseline_score,baseline_rank
flecainide,0.0,374
fipronil,0.0,375
fingolimod,0.0,376
flumatinib,0.0,377
finasteride,0.0,378
estriol,0.0,379
felbinac,0.0,380
fdcyd,0.0,381
favipiravir,0.0,382
famciclovir,0.0,383
exifone,0.0,384
etravirine,0.0,385
etoposide,0.0,386
filgotinib,0.0,387
indinavir,0.0,388
epirubicin,0.0,389
fluorometholone,0.0,390
genz-644282,0.0,391
dutasteride,0.0,392
ebselen,0.0,393
gemifloxacin,0.0,394
gefitinib,0.0,395
efatutazone,0.0,396
efavirenz,0.0,397
gabapentin,0.0,398
epirizole,0.0,399
elacridar,0.0,400
ellagic-acid,0.0,401
emedastine,0.0,402
fulvestrant,0.0,403
ftorafur,0.0,404
fosfomycin,0.0,405
foretinib,0.0,406
entinostat,0.0,407
fluoxetine,0.0,408
elesclomol,0.0,409
indirubin,0.0,410
defactinib,0.0,411
indoramin,0.0,412
lorglumide,0.0,413
lopinavir,0.0,414
loperamide,0.0,415
lomitapide,0.0,416
lomeguatrib,0.0,417
chlorpromazine,0.0,418
chlorprothixene,0.0,419
lofexidine,0.0,420
losartan,0.0,421
choline-alfoscerate,0.0,422
ciclesonide,0.0,423
licarbazepine,0.0,424
levosimendan,0.0,425
cilostazol,0.0,426
cimetidine,0.0,427
cinaciguat,0.0,428
levomequitazine,0.0,429
cinnarizine,0.0,430
lidocaine,0.0,431
levofloxacin,0.0,432
lucitanib,0.0,433
lupanine,0.0,434
calpeptin,0.0,435
camicinal,0.0,436
camostat-mesilate,0.0,437
camptothecin,0.0,438
medroxyprogesterone-acetate,0.0,439
candesartan,0.0,440
mebendazole,0.0,441
maxacalcitol,0.0,442
luliconazole,0.0,443
carbenoxolone,0.0,444
carfilzomib,0.0,445
carglumic-acid,0.0,446
maraviroc,0.0,447
cariprazine,0.0,448
maprotiline,0.0,449
carvedilol,0.0,450
cefepime,0.0,451
cefoperazone,0.0,452
marimastat,0.0,453
medrysone,0.0,454
levocabastine,0.0,455
cladribine,0.0,456
ketanserin,0.0,457
kakonein,0.0,458
cyproterone-acetate,0.0,459
cytarabine,0.0,460
josamycin,0.0,461
cytochalasin-b,0.0,462
ixazomib,0.0,463
dacinostat,0.0,464
ketoconazole,0.0,465
ivermectin,0.0,466
itraconazole,0.0,467
danegaptide,0.0,468
danusertib,0.0,469
isoconazole,0.0,470
dapivirine,0.0,471
daunorubicin,0.0,472
inositol,0.0,473
inosine,0.0,474
ivacaftor,0.0,475
levetiracetam,0.0,476
cyclizine,0.0,477
labetalol,0.0,478
levalbuterol,0.0,479
lersivirine,0.0,480
climbazole,0.0,481
lenalidomide,0.0,482
clioquinol,0.0,483
clobetasol,0.0,484
clofarabine,0.0,485
clofazimine,0.0,486
cyanocobalamin,0.0,487
clofibric-acid,0.0,488
clomipramine,0.0,489
lapatinib,0.0,490
clozapine,0.0,491
lafutidine,0.0,492
compound e,0.0,493
conivaptan,0.0,494
crizotinib,0.0,495
curcumin,0.0,496
clofoctol,0.0,497
oxatomide,0.0,498
picotamide,0.0,499
varenicline,0.0,500
KW-2449,0.0,501
KX2-391,0.0,502
L-655240,0.0,503
L-690330,0.0,504
triamcinolone,0.0,505
L-citrulline,0.0,506
L-ergothioneine,0.0,507
simeprevir,0.0,508
sildenafil,0.0,509
LGX-818,0.0,510
LXR-623,0.0,511
AZD-7545,0.0,512
LY-215490,0.0,513
LY-2157299,0.0,514
LY-2228820,0.0,515
KU-55933,0.0,516
KN-93,0.0,517
simvastatin,0.0,518
siramesine,0.0,519
JNK-IN-5A,0.0,520
sotrastaurin,0.0,521
JTC-801,0.0,522
JTE-907,0.0,523
warfarin,0.0,524
JWE-035,0.0,525
solifenacin-succinate,0.0,526
LY-2334737,0.0,527
KD-023,0.0,528
AZD-8931,0.0,529
tretinoin,0.0,530
KIN001-127,0.0,531
sodium-gualenate,0.0,532
sobetirome,0.0,533
smer-3,0.0,534
KIN001-266,0.0,535
KD-025,0.0,536
AZD-9668,0.0,537
LY-2784544,0.0,538
sertindole,0.0,539
NSI-189,0.0,540
salirasib,0.0,541
"4,5,6,7-tetrabromobenzotriazole",0.0,542
triflupromazine,0.0,543
salermide,0.0,544
NVP-BGJ398,0.0,545
NVP-DPP728,0.0,546
NXY-059,0.0,547
ruxolitinib,0.0,548
OCO-1112,0.0,549
ORE-1001,0.0,550
rotundine,0.0,551
rottlerin,0.0,552
PA-824,0.0,553
PCA-4248,0.0,554
NSC-4644,0.0,555
NPK76-II-72-1,0.0,556
NMS-1286937,0.0,557
saquinavir,0.0,558
LY-2886721,0.0,559
semagacestat,0.0,560
selinexor,0.0,561
MD-920,0.0,562
secnidazole,0.0,563
MF-101,0.0,564
MGCD-265,0.0,565
sertraline,0.0,566
vardenafil,0.0,567
saxagliptin,0.0,568
MK-0893,0.0,569
MK-2206,0.0,570
trifluoperazine,0.0,571
zafirlukast,0.0,572
MLN-8054,0.0,573
N6022,0.0,574
MK-0752,0.0,575
BAY-87-2243,0.0,576
spironolactone,0.0,577
staurosporine,0.0,578
ACY-1215,0.0,579
CP-945598,0.0,580
tolcapone,0.0,581
tolbutamide,0.0,582
CT-7758,0.0,583
tipiracil,0.0,584
CTS-1027,0.0,585
tioguanine,0.0,586
CYT-997,0.0,587
timonacic,0.0,588
BMS-927711,0.0,589
tramadol,0.0,590
BMS-509744,0.0,591
BMS-387032,0.0,592
E-2012,0.0,593
tolnaftate,0.0,594
CO-102862,0.0,595
AGI-5198,0.0,596
tolvaptan,0.0,597
BVD-523,0.0,598
BS-181,0.0,599
BX-795,0.0,600
tozasertib,0.0,601
CEP-32496,0.0,602
CEP-37440,0.0,603
CG-930,0.0,604
EMD-1214063,0.0,605
CGK-733,0.0,606
CGP-12177,0.0,607
CGP-60474,0.0,608
torcetrapib,0.0,609
BRD-K68548958,0.0,610
CI-966,0.0,611
topiramate,0.0,612
BMY-14802,0.0,613
BRD-K73261812,0.0,614
thioridazine,0.0,615
EPZ-005687,0.0,616
EVP-6124,0.0,617
talnetant,0.0,618
BIX-01338,0.0,619
talazoparib,0.0,620
tacedinaline,0.0,621
HG-14-10-04,0.0,622
travoprost,0.0,623
swainsonine,0.0,624
tanaproget,0.0,625
HMN-214,0.0,626
"ICI-185,282",0.0,627
sulpiride,0.0,628
IKK-2-inhibitor-V,0.0,629
vu0155056,0.0,630
sulfadoxine,0.0,631
sulbactam,0.0,632
JNJ-26481585,0.0,633
trazodone,0.0,634
PCI-24781,0.0,635
tandutinib,0.0,636
taranabant,0.0,637
BMS-299897,0.0,638
thiomersal,0.0,639
vortioxetine,0.0,640
FK-888,0.0,641
thioguanine,0.0,642
tetrabenazine,0.0,643
teneligliptin,0.0,644
GSK-J2,0.0,645
tranilast,0.0,646
GDC-0834,0.0,647
GDC-0980,0.0,648
telcagepant,0.0,649
GSK-1070916,0.0,650
GSK-2110183,0.0,651
tazarotene,0.0,652
GSK-256066,0.0,653
vernakalant,0.0,654
rosiglitazone,0.0,655
PD-153035,0.0,656
roquinimex,0.0,657
zidovudine,0.0,658
YM-155,0.0,659
ARP-101,0.0,660
AR-A014418,0.0,661
pinitol,0.0,662
pindolol,0.0,663
ZK-811752,0.0,664
ursolic-acid,0.0,665
ZK-93426,0.0,666
pimozide,0.0,667
pimecrolimus,0.0,668
abacavir,0.0,669
zileuton,0.0,670
acecainide,0.0,671
phenytoin,0.0,672
ponatinib,0.0,673
Y-26763,0.0,674
XMD-16144,0.0,675
XMD-1499,0.0,676
prochlorperazine,0.0,677
primaquine,0.0,678
VE-822,0.0,679
prednisone,0.0,680
prazosin,0.0,681
AS-605240,0.0,682
VX-661,0.0,683
acetazolamide,0.0,684
pralatrexate,0.0,685
WAY-362450,0.0,686
unc-0646,0.0,687
WZ-3105,0.0,688
WZ-4002,0.0,689
2-methoxyestradiol,0.0,690
ARRY-334543,0.0,691
XL-147,0.0,692
VX-765,0.0,693
phenylephrine,0.0,694
acexamic-acid,0.0,695
phenylbutazone,0.0,696
paricalcitol,0.0,697
almorexant,0.0,698
paracetamol,0.0,699
papaverine,0.0,700
AMG-232,0.0,701
palomid-529,0.0,702
palbociclib,0.0,703
pasireotide,0.0,704
altretamine,0.0,705
alvocidib,0.0,706
ambrisentan,0.0,707
oxiperomide,0.0,708
amcinonide,0.0,709
AMG-208,0.0,710
AM-24,0.0,711
amiloride,0.0,712
alvimopan,0.0,713
UNC-0638,0.0,714
aliskiren,0.0,715
penfluridol,0.0,716
acipimox,0.0,717
acivicin,0.0,718
phenylacetylglutamine,0.0,719
acrivastine,0.0,720
actarit,0.0,721
phenprocoumon,0.0,722
perindopril,0.0,723
alisertib,0.0,724
adarotene,0.0,725
perampanel,0.0,726
pentobarbital,0.0,727
valrubicin,0.0,728
17-hydroxyprogesterone-caproate,0.0,729
penitrem-a,0.0,730
penicillin-v-potassium,0.0,731
verapamil,0.0,732
adatanserin,0.0,733
vorinostat,0.0,734
AKT-inhibitor-1-2,0.0,735
TWS-119,0.0,736
trimebutine,0.0,737
trimethoprim,0.0,738
PSI-6130,0.0,739
rimcazole,0.0,740
rilpivirine,0.0,741
rilmenidine,0.0,742
rigosertib,0.0,743
R-547,0.0,744
rifabutin,0.0,745
retapamulin,0.0,746
AZ-628,0.0,747
RG-2833,0.0,748
triptolide,0.0,749
resminostat,0.0,750
RHO-kinase-inhibitor-III[rockout],0.0,751
rimonabant,0.0,752
ripasudil,0.0,753
PK-11195,0.0,754
ritonavir,0.0,755
PF-03084014,0.0,756
AZD-1981,0.0,757
PF-03758309,0.0,758
