drug,trace_score,emp_pvalue,emp_padj,significant,trace_rank,baseline_score,baseline_rank
anacetrapib,0.0160475706428087,0.506,1.0,False,278,0.0,307
doxazosin,0.0159710883971647,0.46,1.0,False,279,0.0,339
UK-383367,0.0159550614571789,0.398,1.0,False,280,-0.0619662921348314,198
gabapentin,0.0159073487040004,0.449,1.0,False,281,0.0,398
hymecromone,0.0159072438904904,0.441,1.0,False,282,0.1176217228464419,1578
ixazomib,0.015881188871772,0.265,1.0,False,283,0.0,463
BIX-01338,0.0157597211986163,0.335,1.0,False,284,0.0,619
KU-55933,0.0156194449968574,0.291,1.0,False,285,0.0,516
meclofenamic-acid,0.0155310152581229,0.463,1.0,False,286,-0.0903558052434456,88
isofloxythepin,0.0154658245387748,0.271,1.0,False,287,-0.084943820224719,106
apabetalone,0.0152855248851928,0.495,1.0,False,288,0.0,274
LY-2874455,0.0149579091181552,0.33,1.0,False,289,-0.0997940074906366,61
tazobactam,0.0147291328921695,0.462,1.0,False,290,0.0885580524344569,1204
ENMD-2076,0.0147118739874098,0.374,1.0,False,291,-0.0712359550561797,156
JTE-907,0.0145942062781408,0.358,1.0,False,292,0.0,523
"ICI-185,282",0.0144439235919818,0.63,1.0,False,293,0.0,627
MK-8245,0.014438143801292,0.304,1.0,False,294,-0.0712172284644194,157
fenticonazole,0.0141893601704726,0.171,1.0,False,295,-0.0881835205992509,96
ivermectin,0.0140911591550961,0.522,1.0,False,296,0.0,466
ledipasvir,0.0138860180585339,0.317,1.0,False,297,-0.0940074906367041,76
tesaglitazar,0.0138431843316284,0.277,1.0,False,298,-0.0742883895131086,147
PF-03084014,0.0138126733976774,0.368,1.0,False,299,0.0,756
CO-102862,0.0136979326152873,0.579,1.0,False,300,0.0,595
protriptyline,0.0136867224114887,0.366,1.0,False,301,0.0,782
saquinavir,0.0135039345044788,0.602,1.0,False,302,0.0,558
crizotinib,0.0134863483244048,0.25,1.0,False,303,0.0,495
nicaraven,0.0133874947429089,0.393,1.0,False,304,0.0939700374531836,1284
KIN001-055,0.0133200284063968,0.489,1.0,False,305,-0.0770599250936329,134
racecadotril,0.0133102935325117,0.39,1.0,False,306,0.0,793
broxuridine,0.0132502219579553,0.577,1.0,False,307,0.0,224
metformin,0.0131382915594691,0.359,1.0,False,308,0.0,244
propafenone,0.0130946954811413,0.333,1.0,False,309,0.071629213483146,937
pelitinib,0.0130374624595811,0.362,1.0,False,310,-0.0830149812734082,111
unc-0646,0.01299166001828,0.461,1.0,False,311,0.0,687
FK-866,0.012832964533616,0.418,1.0,False,312,0.0670411985018726,889
BVD-523,0.0127114980734982,0.435,1.0,False,313,0.0,598
haloperidol,0.0126147865305709,0.426,1.0,False,314,0.0,327
scopolamine,0.0125137140589475,0.514,1.0,False,315,0.0794007490636704,1041
quinapril,0.0123595189565112,0.567,1.0,False,316,0.0,780
tegobuvir,0.0123302047470185,0.592,1.0,False,317,-0.0578838951310861,211
MK-0812,0.0121512769711046,0.588,1.0,False,318,0.082565543071161,1103
toremifene,0.0121410505435602,0.525,1.0,False,319,-0.0794756554307115,123
JW-7-24-1,0.0121359435309967,0.253,1.0,False,320,-0.0758052434456928,140
AGI-5198,0.0120806008896602,0.653,1.0,False,321,0.0,596
clomipramine,0.012000914037793,0.44,1.0,False,322,0.0,489
carglumic-acid,0.0119350119407325,0.441,1.0,False,323,0.0,446
olanzapine,0.0119103088352083,0.48,1.0,False,324,0.0,291
mycophenolic-acid,0.0117915711245092,0.382,1.0,False,325,0.0,256
levocabastine,0.0116448675922927,0.537,1.0,False,326,0.0,455
thioridazine,0.0114993546944875,0.292,1.0,False,327,0.0,615
anamorelin,0.011482914671288,0.358,1.0,False,328,-0.0726779026217228,151
DPCPX,0.01146111984926,0.522,1.0,False,329,0.0615917602996254,852
dolastatin-10,0.0109564194810568,0.377,1.0,False,330,-0.0897752808988763,90
metixene,0.0109453153283198,0.51,1.0,False,331,0.0,248
bopindolol,0.0109332859489819,0.379,1.0,False,332,0.0718913857677902,940
nortriptyline,0.0106533139426075,0.448,1.0,False,333,0.0,251
umeclidinium,0.0105972484552044,0.462,1.0,False,334,0.0521161048689138,819
siguazodan,0.0104541303526777,0.3,1.0,False,335,-0.0759550561797752,138
armodafinil,0.0103942126350596,0.386,1.0,False,336,-0.0694943820224719,164
milacemide,0.010327577240026,0.558,1.0,False,337,0.0,287
proguanil,0.0102756278496013,0.323,1.0,False,338,0.0,788
LY-2603618,0.0101999235629189,0.437,1.0,False,339,-0.1000936329588015,60
perindopril,0.0101688067963173,0.403,1.0,False,340,0.0,723
bardoxolone-methyl,0.0101533876526465,0.408,1.0,False,341,0.0,306
dexamethasone,0.0100604395620694,0.488,1.0,False,342,-0.1055243445692883,47
combretastatin-A-4,0.0099211174399733,0.417,1.0,False,343,-0.078876404494382,125
fluconazole,0.0099067999777188,0.403,1.0,False,344,0.0730149812734082,954
timofibrate,0.0098022729625942,0.533,1.0,False,345,0.0629962546816479,862
siramesine,0.0097795974260648,0.643,1.0,False,346,0.0,519
bruceantin,0.0097519190050567,0.345,1.0,False,347,0.0625280898876404,857
histamine,0.0097349676961134,0.598,1.0,False,348,0.0583895131086142,839
rosiglitazone,0.0096859758603554,0.477,1.0,False,349,0.0,655
