drug,final_score,trace_score,genetic_support,pathway_concordance,sig_reproducibility,n_cell_lines,baseline_score,final_rank
MK-0752,0.6942307692307692,0.0246566641878468,0.0,0.0,0.0,7,0.0,193
pilaralisib,0.693947963800905,0.0246505620372901,0.0,0.0,0.0,7,-0.0674344569288389,194
KIN001-127,0.6936651583710407,0.0241713032468962,0.0,0.0,0.0,19,0.0,195
SR-33805,0.6933823529411764,0.0239987063376178,0.0,0.0,0.0,7,0.0,196
oxatomide,0.6930995475113122,0.0237112158786863,0.0,0.0,0.0,7,0.0,197
SDZ-NKT-343,0.692816742081448,0.0236327748090362,0.0,0.0,0.0,7,0.0766853932584269,198
dipyridamole,0.6925339366515837,0.023591795969586,0.0,0.0,0.0,7,-0.1061610486891385,199
salermide,0.6922511312217194,0.0234909344452381,0.0,0.0,0.0,5,0.0,200
AS-703026,0.6919683257918552,0.0233911963270768,0.0,0.0,0.0,7,-0.0865543071161049,201
diazoxide,0.6916855203619909,0.0233191858400539,0.0,0.0,0.0,7,0.0,202
torcetrapib,0.6914027149321267,0.0232874856206986,0.0,0.0,0.0,7,0.0,203
docetaxel,0.6911199095022624,0.0232489778064365,0.0,0.0,0.0,7,-0.077003745318352,204
CEP-32496,0.6908371040723982,0.0232486468188229,0.0,0.0,0.0,7,0.0,205
semagacestat,0.6905542986425339,0.023170887153084,0.0,0.0,0.0,9,0.0,206
cabergoline,0.6902714932126697,0.0225867658711242,0.0,0.0,0.0,7,-0.0577902621722846,207
avagacestat,0.6899886877828054,0.0224909969640139,0.0,0.0,0.0,7,-0.1022097378277154,208
naftopidil,0.6897058823529412,0.0224842500797922,0.0,0.0,0.0,7,0.0,209
isbufylline,0.6894230769230769,0.0224655504255866,0.0,0.0,0.0,7,-0.0690262172284644,210
TAK-285,0.6891402714932127,0.0224179207812606,0.0,0.0,0.0,7,-0.0663295880149812,211
PF-04620110,0.6888574660633484,0.0222492063763728,0.0,0.0,0.0,7,0.0,212
mepacrine,0.6885746606334842,0.0221167884030149,0.0,0.0,0.0,7,0.0,213
linsidomine,0.6882918552036199,0.0219730691134118,0.0,0.0,0.0,7,-0.0674157303370786,214
budipine,0.6880090497737557,0.0218858486748815,0.0,0.0,0.0,7,-0.0622659176029962,215
tamsulosin,0.6877262443438914,0.0218197807887073,0.0,0.0,0.0,7,0.0862734082397004,216
KIN001-266,0.6874434389140271,0.0217163890697113,0.0,0.0,0.0,22,0.0,217
FK-888,0.6871606334841629,0.0217137729654851,0.0,0.0,0.0,7,0.0,218
XMD-16144,0.6868778280542986,0.0216280359311507,0.0,0.0,0.0,13,0.0,219
honokiol,0.6865950226244344,0.0215898884942584,0.0,0.0,0.0,7,-0.0630898876404494,220
felbinac,0.6863122171945701,0.021480868236439,0.0,0.0,0.0,7,0.0,221
AZD-9668,0.6860294117647059,0.0210455414253661,0.0,0.0,0.0,7,0.0,222
GDC-0980,0.6857466063348416,0.0210094532160756,0.0,0.0,0.0,15,0.0,223
aripiprazole,0.6854638009049774,0.020991794559453,0.0,0.0,0.0,7,0.0,224
delivert,0.6851809954751131,0.0209257788548467,0.0,0.0,0.0,7,0.0893071161048689,225
luliconazole,0.6848981900452489,0.0209150506923765,0.0,0.0,0.0,7,0.0,226
temoporfin,0.6846153846153846,0.0208685894216014,0.0,0.0,0.0,7,-0.0873220973782771,227
meisoindigo,0.6843325791855204,0.0207003793656349,0.0,0.0,0.0,7,0.0,228
cariprazine,0.6840497737556561,0.0206913040520253,0.0,0.0,0.0,7,0.0,229
3-amino-benzamide,0.6837669683257919,0.0201897854073093,0.0,0.0,0.0,7,0.0,230
N6022,0.6834841628959276,0.0201119377985594,0.0,0.0,0.0,7,0.0,231
macitentan,0.6832013574660634,0.0199209575890323,0.0,0.0,0.0,7,-0.0758052434456928,232
AZD-1981,0.6829185520361991,0.0197783625786669,0.0,0.0,0.0,7,0.0,233
nesbuvir,0.6826357466063349,0.0197245101761484,0.0,0.0,0.0,7,0.0,234
BIX-01294,0.6823529411764706,0.0196674624750683,0.0,0.0,0.0,19,0.0747191011235955,235
celecoxib,0.6820701357466064,0.0196296244167052,0.0,0.0,0.0,7,0.0663295880149812,236
andarine,0.6817873303167421,0.019285074046503,0.0,0.0,0.0,7,0.0,237
GSK-461364,0.6815045248868778,0.0192333752826862,0.0,0.0,0.0,21,-0.0968726591760299,238
atipamezole,0.6812217194570136,0.0192149068485871,0.0,0.0,0.0,7,0.0888576779026217,239
laropiprant,0.6809389140271493,0.0192011613345233,0.0,0.0,0.0,7,-0.0687453183520599,240
methoxsalen,0.6806561085972851,0.0191581451377523,0.0,0.0,0.0,7,-0.0682397003745318,241
ketoconazole,0.6803733031674208,0.0189904458649691,0.0,0.0,0.0,7,0.0,242
ranitidine,0.6800904977375566,0.018869745600198,0.0,0.0,0.0,7,0.0,243
PF-03758309,0.6798076923076923,0.0187213175328279,0.0,0.0,0.0,21,0.0,244
AZ-628,0.6795248868778281,0.0187093381445363,0.0,0.0,0.0,24,0.0,245
indole-3-carbinol,0.6792420814479638,0.018538623198821,0.0,0.0,0.0,7,-0.0750374531835205,246
gemifloxacin,0.6789592760180996,0.0184861629576393,0.0,0.0,0.0,7,0.0,247
BMS-509744,0.6786764705882353,0.0184625618162064,0.0,0.0,0.0,22,0.0,248
amoxapine,0.6783936651583711,0.018457763103603,0.0,0.0,0.0,7,0.0,249
compound e,0.6781108597285067,0.0183930562165133,0.0,0.0,0.0,5,0.0,250
JWE-035,0.6778280542986425,0.0183395658096769,0.0,0.0,0.0,19,0.0,251
carfilzomib,0.6775452488687782,0.0181505730702242,0.0,0.0,0.0,7,0.0,252
