drug,trace_score,trace_rank
NU-7441,0.02601614736932734,188
BMS-599626,0.025817056546898965,189
KD-023,0.02554821475551371,190
clofazimine,0.025246245220405028,191
ubenimex,0.024808828054783093,192
MK-0752,0.02465666418784682,193
pilaralisib,0.02465056203729014,194
KIN001-127,0.024171303246896297,195
SR-33805,0.02399870633761784,196
oxatomide,0.023711215878686354,197
SDZ-NKT-343,0.023632774809036205,198
dipyridamole,0.023591795969586098,199
salermide,0.02349093444523817,200
AS-703026,0.023391196327076848,201
diazoxide,0.023319185840053956,202
torcetrapib,0.02328748562069861,203
docetaxel,0.023248977806436564,204
CEP-32496,0.023248646818822948,205
semagacestat,0.02317088715308406,206
cabergoline,0.022586765871124223,207
avagacestat,0.02249099696401397,208
naftopidil,0.022484250079792285,209
isbufylline,0.022465550425586636,210
TAK-285,0.02241792078126062,211
PF-04620110,0.022249206376372885,212
mepacrine,0.022116788403014905,213
linsidomine,0.02197306911341181,214
budipine,0.021885848674881588,215
tamsulosin,0.021819780788707395,216
KIN001-266,0.021716389069711392,217
FK-888,0.021713772965485146,218
XMD-16144,0.021628035931150702,219
honokiol,0.021589888494258417,220
felbinac,0.021480868236439014,221
AZD-9668,0.021045541425366136,222
GDC-0980,0.0210094532160756,223
aripiprazole,0.020991794559453037,224
delivert,0.020925778854846748,225
luliconazole,0.02091505069237658,226
temoporfin,0.02086858942160144,227
meisoindigo,0.020700379365634965,228
cariprazine,0.020691304052025346,229
3-amino-benzamide,0.020189785407309375,230
N6022,0.0201119377985594,231
macitentan,0.019920957589032395,232
AZD-1981,0.019778362578666952,233
nesbuvir,0.019724510176148492,234
BIX-01294,0.019667462475068388,235
celecoxib,0.019629624416705235,236
andarine,0.019285074046503037,237
GSK-461364,0.01923337528268628,238
atipamezole,0.019214906848587166,239
laropiprant,0.019201161334523306,240
methoxsalen,0.019158145137752366,241
ketoconazole,0.01899044586496918,242
ranitidine,0.01886974560019809,243
PF-03758309,0.01872131753282798,244
AZ-628,0.018709338144536358,245
indole-3-carbinol,0.01853862319882106,246
gemifloxacin,0.018486162957639305,247
BMS-509744,0.018462561816206438,248
amoxapine,0.018457763103603003,249
compound e,0.018393056216513333,250
JWE-035,0.01833956580967694,251
carfilzomib,0.01815057307022428,252
azacitidine,0.01808809453531071,253
piracetam,0.018032827835102693,254
brivudine,0.017964807277497715,255
VE-822,0.01779503594176112,256
lomitapide,0.017743296463667953,257
pioglitazone,0.017686549554723777,258
AV-412,0.017494874186552056,259
bazedoxifene,0.017414051552734934,260
varenicline,0.0172980368105465,261
faropenem,0.017182843394978567,262
curcumin,0.01712235732123918,263
SR-57227A,0.01705312226972919,264
milrinone,0.01704613821070842,265
rimonabant,0.01698388578795514,266
ixabepilone,0.01695919689286529,267
penitrem-a,0.016897577221821992,268
cytochalasin-b,0.01679263634675831,269
oprozomib,0.016749754423858246,270
pindolol,0.016704690351347452,271
paroxetine,0.016630490602374377,272
desoxypeganine,0.01657524370730084,273
mitiglinide,0.016423622503234144,274
diphenidol,0.01630665660333359,275
NVP-BEZ235,0.016276146181910797,276
oxybutynin,0.01611132080553708,277
anacetrapib,0.016047570642808786,278
doxazosin,0.01597108839716478,279
UK-383367,0.015955061457178912,280
gabapentin,0.015907348704000485,281
hymecromone,0.015907243890490422,282
ixazomib,0.015881188871772072,283
BIX-01338,0.015759721198616326,284
KU-55933,0.015619444996857485,285
meclofenamic-acid,0.015531015258122905,286
isofloxythepin,0.015465824538774821,287
apabetalone,0.01528552488519281,288
LY-2874455,0.014957909118155258,289
tazobactam,0.014729132892169568,290
ENMD-2076,0.014711873987409875,291
JTE-907,0.01459420627814087,292
"ICI-185,282",0.014443923591981832,293
MK-8245,0.014438143801292056,294
fenticonazole,0.014189360170472641,295
ivermectin,0.014091159155096117,296
ledipasvir,0.01388601805853396,297
tesaglitazar,0.013843184331628415,298
PF-03084014,0.01381267339767744,299
CO-102862,0.013697932615287338,300
protriptyline,0.013686722411488706,301
saquinavir,0.01350393450447881,302
crizotinib,0.01348634832440485,303
nicaraven,0.013387494742908911,304
KIN001-055,0.013320028406396848,305
racecadotril,0.013310293532511733,306
broxuridine,0.013250221957955395,307
metformin,0.013138291559469108,308
propafenone,0.013094695481141352,309
pelitinib,0.013037462459581102,310
unc-0646,0.012991660018280062,311
FK-866,0.012832964533616077,312
BVD-523,0.01271149807349829,313
haloperidol,0.012614786530570927,314
scopolamine,0.01251371405894757,315
quinapril,0.012359518956511285,316
tegobuvir,0.012330204747018531,317
MK-0812,0.012151276971104642,318
toremifene,0.01214105054356027,319
JW-7-24-1,0.012135943530996781,320
AGI-5198,0.012080600889660297,321
clomipramine,0.012000914037793043,322
carglumic-acid,0.011935011940732557,323
olanzapine,0.011910308835208322,324
mycophenolic-acid,0.01179157112450926,325
levocabastine,0.011644867592292734,326
thioridazine,0.011499354694487504,327
anamorelin,0.01148291467128801,328
DPCPX,0.011461119849260027,329
dolastatin-10,0.010956419481056886,330
metixene,0.010945315328319829,331
bopindolol,0.010933285948981943,332
nortriptyline,0.010653313942607523,333
umeclidinium,0.010597248455204454,334
siguazodan,0.010454130352677742,335
armodafinil,0.010394212635059638,336
milacemide,0.010327577240026004,337
proguanil,0.01027562784960132,338
LY-2603618,0.01019992356291894,339
perindopril,0.010168806796317358,340
bardoxolone-methyl,0.010153387652646501,341
dexamethasone,0.010060439562069439,342
combretastatin-A-4,0.009921117439973317,343
fluconazole,0.00990679997771884,344
timofibrate,0.009802272962594276,345
siramesine,0.009779597426064893,346
bruceantin,0.00975191900505679,347
histamine,0.009734967696113487,348
rosiglitazone,0.009685975860355418,349
etofylline-clofibrate,0.009679089786546108,350
AZD-7545,0.009672311292513593,351
bupivacaine,0.00964423408154924,352
HG-5-113-01,0.009569320948337932,353
palomid-529,0.00933793174281637,354
etazolate,0.009322313422704119,355
telmesteine,0.009285641859292829,356
KX2-391,0.009222314834372906,357
GSK-J2,0.008990816850066424,358
AT-9283,0.00891548599615193,359
EVP-6124,0.008825565029029465,360
lidoflazine,0.008782082413382625,361
vardenafil,0.008744789694643863,362
CGP-12177,0.008641089666731981,363
dabrafenib,0.008569113211769683,364
