drug,weighted_trace,weighted_rank
LY-2603618,-0.006554512690246814,448
ORG-9768,-0.006661837551306977,449
UK-383367,-0.006728014177276661,450
propafenone,-0.006874221678525889,451
KD-023,-0.006987999065747389,452
VX-765,-0.007033176273545113,453
tasquinimod,-0.007034310165153009,454
clofazimine,-0.007141328923438388,455
adenosine,-0.007170521677951441,456
malotilate,-0.007192051212254066,457
benzbromarone,-0.007193720914050933,458
LY-2874455,-0.0072151217597089205,459
PF-03084014,-0.007229438726265247,460
NVP-BEZ235,-0.007247446513893384,461
ranitidine,-0.007276906254079941,462
10-DEBC,-0.007322126798357406,463
glipizide,-0.007334497339777657,464
fluorometholone,-0.007464841933414357,465
RG-4733,-0.0075957383940477175,466
temozolomide,-0.007641373528436089,467
dicoumarol,-0.007673955840752225,468
bupropion,-0.007908334389957682,469
JTC-801,-0.008034300462030632,470
PF-04447943,-0.008075955535398232,471
epz-5676,-0.00820570998776368,472
etomidate,-0.008389944204472356,473
theophylline,-0.008422258376605065,474
pinacidil,-0.008480602357335517,475
MF-101,-0.008516375525809085,476
busulfan,-0.00852474098797768,477
rosiglitazone,-0.008715180629483787,478
prazosin,-0.008739107301352014,479
cyproheptadine,-0.008782548665421606,480
levofloxacin,-0.00889722611755322,481
L-655240,-0.008960423897600635,482
acipimox,-0.009156504495718493,483
linezolid,-0.009293422915862397,484
alaproclate,-0.009314717278090745,485
ARP-101,-0.009467956736963185,486
apixaban,-0.009512079523884432,487
KIN001-055,-0.009576053626576465,488
AZD-9668,-0.009616742199185586,489
aripiprazole,-0.009698988396929564,490
epitiostanol,-0.009789668747108331,491
meisoindigo,-0.00983577967391862,492
fluocinolone-acetonide,-0.009841673134653907,493
swainsonine,-0.00989811995993247,494
mubritinib,-0.009983109988680686,495
loperamide,-0.010076161984506919,496
salermide,-0.010122224147677841,497
hymecromone,-0.01013300245705522,498
febuxostat,-0.010135618614552318,499
bemegride,-0.01013704581495255,500
biperiden,-0.01038334944705515,501
neostigmine,-0.010471901638627051,502
MK-1775,-0.010502601215794228,503
methylstat,-0.010567234307822714,504
nicotinamide,-0.010622489569886342,505
resatorvid,-0.010695738260757402,506
lidoflazine,-0.010708446284645007,507
clofibrate,-0.010726952353231223,508
GSK-J2,-0.010754416527472372,509
balaglitazone,-0.010940185538193377,510
SN-38,-0.010944886579721144,511
diazoxide,-0.010983431856327152,512
acecainide,-0.011009427774678924,513
MK-8245,-0.011068173416697132,514
vincamine,-0.011075987240620883,515
simeprevir,-0.011118976493712364,516
zofenopril-calcium,-0.011141647039261007,517
PSI-7976,-0.011321513588383148,518
cpi-169,-0.01137440286591628,519
acetazolamide,-0.01138753994059988,520
chlorpropamide,-0.011424109173070997,521
alizapride,-0.011543792762316941,522
camostat-mesilate,-0.011574511600793229,523
vinburnine,-0.011575445138440084,524
vu0155056,-0.011635720413669398,525
vortioxetine,-0.01170524590413387,526
gliquidone,-0.011773564959463087,527
MLN-0128,-0.011778052264892369,528
secnidazole,-0.011970801730613144,529
zafirlukast,-0.0120473473576758,530
HG-5-113-01,-0.012198839855309175,531
NSI-189,-0.012219112719371933,532
mepivacaine,-0.012239572165768467,533
epz004777,-0.012242190083262477,534
alagebrium,-0.012264483484372042,535
glibenclamide,-0.012270286809248796,536
Y-27152,-0.01228995347081099,537
emedastine,-0.012410400944694793,538
mozavaptan,-0.012428662939203097,539
LY-2334737,-0.01246111572753033,540
epothilone-b,-0.012474910802209313,541
avagacestat,-0.012580565548711346,542
ponatinib,-0.01275101748114287,543
thiothixene,-0.012868847970156973,544
lestaurtinib,-0.01297098552883427,545
cytochalasin-b,-0.012985311243048477,546
bitopertin,-0.013021774200012845,547
moclobemide,-0.013084026613272697,548
donitriptan,-0.01311822421960331,549
GSK-2636771,-0.013125710811812302,550
MK-2461,-0.013171831790624875,551
API-001,-0.013189080886205568,552
L-ergothioneine,-0.01324257959071314,553
brivudine,-0.013266363086572155,554
naftidrofuryl,-0.01327807249770516,555
dipyridamole,-0.01330634872924911,556
"16,16-dimethylprostaglandin-e2",-0.013310096134939947,557
taladegib,-0.013322899452404113,558
MBX-2982,-0.01336271392341903,559
broxuridine,-0.013471187382747484,560
PI-103,-0.013473108149491082,561
nefiracetam,-0.013547460373727236,562
methiopril,-0.013579023652294528,563
bifemelane,-0.013748772972011008,564
progesterone,-0.013776351057565256,565
YM-155,-0.013785846306863348,566
cefotetan,-0.013880328143705888,567
lersivirine,-0.01390683011519405,568
ubenimex,-0.013962639845600863,569
GSK-2110183,-0.0139661065104824,570
quinapril,-0.01401858498435545,571
MK-5108,-0.014029684187172264,572
CGK-733,-0.014051221748114287,573
cobicistat,-0.014091925067056895,574
fluconazole,-0.014126648286735854,575
PSI-6130,-0.014151780639809519,576
anagrelide,-0.01438889735398835,577
ivabradine,-0.014397652526473124,578
clozapine,-0.014403077760785893,579
tamoxifen,-0.014445177240775216,580
