drug,baseline_score,baseline_rank,trace_score,trace_rank
idelalisib,0.0,357,-0.013247067478101683,727
idasanutlin,0.0,358,-0.03904984267563796,1245
idalopirdine,0.0,359,-0.007610669503303783,618
diazoxide,0.0,360,0.023319185840053956,202
ibrutinib,0.0,361,0.032621061242827196,151
dicloxacillin,0.0,362,-0.019762435282626414,852
dicoumarol,0.0,363,-0.01590226558517818,788
hydrocortisone,0.0,364,-0.0229687211725543,915
dexniguldipine,0.0,365,-0.005740174035166256,580
gimeracil,0.0,366,-0.02868000532163732,1035
dronedarone,0.0,367,0.0038307238114900933,420
gestrinone,0.0,368,-0.025618448823274187,968
epothilone-b,0.0,369,0.0020253071287285535,442
fludroxycortide,0.0,370,-0.007463771670775904,613
epz-5676,0.0,371,-0.026020588446703026,977
epz004777,0.0,372,-0.027980666801578905,1020
floxuridine,0.0,373,-0.034029621783404865,1151
flecainide,0.0,374,-0.02712165459513418,993
fipronil,0.0,375,-0.0501610509091769,1439
fingolimod,0.0,376,-0.0062061104649296225,589
flumatinib,0.0,377,0.028169352639244118,177
finasteride,0.0,378,-0.000729452422214576,505
estriol,0.0,379,-0.013198092047381187,725
felbinac,0.0,380,0.021480868236439014,221
fdcyd,0.0,381,-0.03828695214501148,1227
favipiravir,0.0,382,-0.03810491943493262,1222
famciclovir,0.0,383,0.04244161677830476,103
exifone,0.0,384,-0.011660097638142814,688
etravirine,0.0,385,-0.018618366049969977,825
etoposide,0.0,386,-0.025582811055362444,967
filgotinib,0.0,387,-0.0028076249799034955,537
indinavir,0.0,388,-0.01357574114402308,740
epirubicin,0.0,389,-0.05553129747044,1501
fluorometholone,0.0,390,-0.012730972794637403,708
genz-644282,0.0,391,0.006622555815947604,384
dutasteride,0.0,392,-0.030968209352074533,1097
ebselen,0.0,393,-0.0006829378587144977,503
gemifloxacin,0.0,394,0.018486162957639305,247
gefitinib,0.0,395,0.005968010953999852,389
efatutazone,0.0,396,0.04451756693500218,95
efavirenz,0.0,397,-0.006189242236084229,588
gabapentin,0.0,398,0.015907348704000485,281
epirizole,0.0,399,-0.005791155511358261,581
elacridar,0.0,400,-0.0024244822862548926,532
ellagic-acid,0.0,401,-0.013810020531537733,744
emedastine,0.0,402,-0.018719574706943885,828
fulvestrant,0.0,403,-0.014299835244165643,754
ftorafur,0.0,404,-0.008214423403909082,624
fosfomycin,0.0,405,-0.01139983751231192,682
foretinib,0.0,406,0.026115567698259144,187
entinostat,0.0,407,-0.006222716863542712,591
fluoxetine,0.0,408,0.027521511442983433,181
elesclomol,0.0,409,-0.0022956099717166504,529
indirubin,0.0,410,0.008564290779997987,365
defactinib,0.0,411,-0.009141484039433448,643
indoramin,0.0,412,0.007185712566837913,375
lorglumide,0.0,413,0.04286715583860696,101
lopinavir,0.0,414,-0.014350756258842075,755
