drug,baseline,net_trace,weighted_trace,vae_score,genetic_support,sig_reproducibility,n_cell_lines,combined_score,combined_rank,genetic_support_expanded,combined_score_expanded,combined_rank_expanded
brexpiprazole,-0.1234456928838952,0.0520361414103587,0.0212578071168807,-0.056440283,0.0,0.0,7,0.6203923787964535,306,0.0,0.02601807070517935,80
CC-930,-0.1612172284644194,0.05191819256901,0.0713272733407991,0.042663094,0.0,0.0,7,0.6994340690435766,70,0.0,0.025959096284505,81
pimavanserin,-0.1096816479400749,0.0514780548367177,0.044343369122683,0.025015723,0.0,0.0,7,0.6873608753065459,101,0.0,0.02573902741835885,82
ganetespib,-0.1491385767790262,0.0513367358660454,0.0617056968835567,0.07054494,0.0,0.0,7,0.7072627806074325,58,0.0,0.0256683679330227,83
MK-2461,-0.1119101123595506,0.0509250996935476,-0.0131718317906248,0.003167728,0.0,0.0,7,0.6307677796642143,257,0.0,0.0254625498467738,84
licarbazepine,0.0,0.0507998184214197,0.0150791795972147,0.0010593918,0.0,0.0,7,0.6617053386153556,164,0.0,0.02539990921070985,85
cobimetinib,-0.120318352059925,0.0507771788054846,0.0645488647925834,0.27060983,0.0,0.0,7,0.7352763629503868,25,0.0,0.0253885894027423,86
ST-1859,-0.0681835205992509,0.0486171468209304,0.0220222692236792,-0.08756031,0.0,0.0,7,0.600867760799849,388,0.0,0.0243085734104652,87
SB-525334,0.0,0.0474370086007589,0.0250525918952132,-0.12119309,0.0,0.0,22,0.592850405583852,426,0.0,0.02371850430037945,88
NVP-TAE226,-0.0879026217228464,0.0471837450986605,0.0284287217948642,-0.07823979,0.0,0.0,22,0.6096396906244105,346,0.0,0.02359187254933025,89
radicicol,-0.0815543071161048,0.0466000532740775,0.0484341231949552,0.07927869,0.0,0.0,15,0.7061309186945859,59,0.0,0.02330002663703875,90
HG-14-10-04,0.0,0.0460193706366067,0.058554122422653,0.017513098,0.0,0.0,22,0.6855687606112054,105,0.0,0.02300968531830335,91
GDC-0941,-0.0827715355805243,0.0458990747032635,0.020595557694182,0.020436695,0.0,0.0,17,0.6753820033955856,124,0.0,0.02294953735163175,92
AT-13387,-0.1085580524344569,0.0453550159456131,0.0460359309879466,-0.031167189,0.0,0.0,7,0.6459535936615732,205,0.0,0.02267750797280655,93
XL-888,-0.1161423220973782,0.0446244233056289,0.0583865970037932,0.059932195,0.0,0.0,7,0.7012261837389172,65,0.0,0.02231221165281445,94
pravastatin,-0.0648876404494381,0.0445469692123049,0.0322594291018633,-0.074845426,0.0,0.0,8,0.6123750235804565,335,0.0,0.02227348460615245,95
PK-11195,0.0,0.0441432274863732,0.0070150387312641,-0.09040659,0.0,0.0,7,0.5881343142803245,445,0.0,0.0220716137431866,96
doxofylline,0.0,0.0439170376666387,0.0010719147397238,0.006804231,0.0,0.0,7,0.6492548575740427,194,0.0,0.02195851883331935,97
MG-132,-0.0817228464419475,0.043777604194365,0.0481488013128098,0.02772422,0.0,0.0,7,0.6885870590454631,98,0.0,0.0218888020971825,98
metronidazole,0.0,0.0433696974277885,0.0192080633786579,-0.07474836,0.0,0.0,7,0.6058668175815883,358,0.0,0.02168484871389425,99
tipifarnib-P2,-0.1187453183520599,0.0430568924797369,0.011524037609992,0.092261635,0.0,0.0,7,0.6907564610450859,92,0.0,0.02152844623986845,100
lorglumide,0.0,0.0428671558386069,0.0301473468834087,0.054411232,0.0,0.0,7,0.6920769666100736,88,0.0,0.02143357791930345,101
belinostat,0.0,0.0425670552698215,0.0598885255221072,0.0057537444,0.0,0.0,21,0.6764195434823618,123,0.0,0.02128352763491075,102
famciclovir,0.0,0.0424416167783047,0.0150031978586074,-0.013425777,0.0,0.0,7,0.6478400301829843,196,0.0,0.02122080838915235,103
calpain inhibitor ii,0.0,0.0421623829135591,0.0101653664399504,-0.43809658,0.0,0.0,5,0.5676664780230145,541,0.0,0.02108119145677955,104
PFI-1,0.0,0.0412008012436505,0.0466069848318922,0.033061333,0.0,0.0,19,0.6889643463497453,96,0.0,0.02060040062182525,105
SU-014813,-0.10187265917603,0.0409330329023653,0.0210987946382229,0.04806748,0.0,0.0,7,0.684814186002641,107,0.0,0.02046651645118265,106
anagrelide,0.0,0.0408527620111257,-0.0143888973539883,-0.021042772,0.0,0.0,7,0.6057724957555178,359,0.0,0.02042638100556285,107
