drug,baseline,net_trace,weighted_trace,vae_score,genetic_support,sig_reproducibility,n_cell_lines,combined_score,combined_rank
indole-3-carbinol,-0.0750374531835205,0.018538623198821,0.0090011511618245,0.060705084,0.0,0.0,7,0.6669873608753066,150
naftopidil,0.0,0.0224842500797922,0.0181644183726642,0.029055486,0.0,0.0,7,0.6669873608753065,151
mizolastine,0.0,0.0525896975544685,0.046633307579398,-0.010248113,0.0,0.0,7,0.6658554989624599,152
conivaptan,0.0,0.0020513196624048,0.0339457116455982,0.066480204,0.0,0.0,7,0.6653838898321071,153
SU-11652,-0.1035393258426966,0.0030895875091014,0.0253686842663515,0.07059689,0.0,0.0,7,0.6649122807017543,154
PF-02545920,-0.0678464419475655,0.0640014252633736,0.0316605507898878,-0.009519188,0.0,0.0,7,0.6642520279192605,155
lonidamine,-0.0675093632958801,0.0522707453283154,-0.0049114465756942,0.048327535,0.0,0.0,7,0.6640633842671194,156
lafutidine,0.0,0.0018239634334311,0.0060711424284512,0.12541296,0.0,0.0,7,0.6639690624410489,157
olanzapine,0.0,0.0119103088352083,0.0194122447893597,0.04870206,0.0,0.0,7,0.6639690624410488,158
cytochalasin-b,0.0,0.0167926363467583,-0.0129853112430484,0.15912065,0.0,0.0,7,0.6636860969628372,159
CEP-32496,0.0,0.0232486468188229,0.0450789785290301,0.0049299104,0.0,0.0,7,0.6631201660064138,160
ursolic-acid,0.0,0.0040755016534779,0.0068865050294076,0.10641607,0.0,0.0,7,0.6623655913978495,161
hexachlorophene,0.0,0.007602198074269,-7.823010369917685e-05,0.11517351,0.0,0.0,7,0.6622712695717788,162
atipamezole,0.0888576779026217,0.0192149068485871,0.0331309217230836,0.012812733,0.0,0.0,7,0.6622712695717788,163
licarbazepine,0.0,0.0507998184214197,0.0150791795972147,0.0010593918,0.0,0.0,7,0.6617053386153556,164
penfluridol,0.0,-0.0042600597985769,0.0185440173958414,0.11495534,0.0,0.0,7,0.661611016789285,165
lomitapide,0.0,0.0177432964636679,0.0346370998461625,0.012933917,0.0,0.0,7,0.6615166949632144,166
geldanamycin,-0.0702996254681648,0.0545633614618235,0.0451628273594017,-0.015904889,0.0,0.0,16,0.6610450858328617,167
LY-2228820,0.0,0.0299795606473378,0.0094920121833314,0.022392781,0.0,0.0,7,0.66076212035465,168
diazoxide,0.0,0.0233191858400539,-0.0109834318563271,0.10301834,0.0,0.0,7,0.6598189020939446,169
delivert,0.0893071161048689,0.0209257788548467,0.0021140508774942,0.050115913,0.0,0.0,7,0.6593472929635918,170
raloxifene,0.0,0.0263176100464168,0.0691670692568941,-0.009676688,0.0,0.0,7,0.6592529711375212,171
clofazimine,0.0,0.025246245220405,-0.0071413289234383,0.07246561,0.0,0.0,7,0.6587813620071684,172
PF-04620110,0.0,0.0222492063763728,0.0307754554875943,0.0035284215,0.0,0.0,7,0.6583097528768157,173
podophyllotoxin,-0.0612359550561797,0.0053710850041475,-0.0039911962281777,0.123271495,0.0,0.0,7,0.6568006036596868,174
PHA-665752,0.0,-0.0102965667272561,0.0079356499149993,0.20813884,0.0,0.0,13,0.6565176381814751,175
ifosfamide,0.0,0.0023422141433236,-0.0044735643300717,0.14094663,0.0,0.0,7,0.6564233163554046,176
ibrutinib,0.0,0.0326210612428271,0.0062605571638456,0.014459652,0.0,0.0,24,0.6559517072250519,177
zolpidem,-0.0950187265917602,0.0405115721389588,0.0256268731829539,-0.009137039,0.0,0.0,7,0.6559517072250518,178
linsidomine,-0.0674157303370786,0.0219730691134118,0.0287089998351832,-0.000533702,0.0,0.0,7,0.6553857762686285,179
