entrez,probe,log2FC,t_stat,se,pvalue,padj,n_uc,n_ctrl
26228,220059_at,0.9698399710485828,2.329169181558995,0.3562242440212426,0.026773160076714635,0.1759613567970156,19,13
26229,203452_at,0.05967805460323783,0.7624781843823755,0.07083189321693718,0.4517284674249283,0.8694417365276066,19,13
26230,227866_at,-0.2701787023846154,-1.3577597651132378,0.2124609791749403,0.1846656398643076,0.5859888980065365,19,13
26231,232545_at,0.01539755930769271,0.6777491452744395,0.019849322566563878,0.5031247806500425,0.8974595700879257,19,13
26232,219305_x_at,-0.10516833054251018,-1.5768383092480553,0.06937964572933539,0.1253206949342859,0.4721222762315029,19,13
26233,219189_at,0.1319659248056686,0.6552004513247299,0.22081459277063958,0.5173316806150678,0.9071141040899456,19,13
26234,209004_s_at,0.2409478354858301,2.4773121424746773,0.08505992734933819,0.019094630614064047,0.1408375916329044,19,13
26235,236994_at,-0.8849845858785432,-3.865892722556368,0.2148941133350697,0.0005512672958298327,0.013840523829079538,19,13
26238,1555095_at,-0.23338525984210534,-2.7388555242948796,0.10349477134222043,0.010273777806730187,0.09369374296939538,19,13
26239,207710_at,0.0015765279635626683,0.09357583631239498,0.017744306191003544,0.9260682748320357,0.9996525187900612,19,13
26240,205775_at,-0.19504690621862286,-1.413111110380986,0.14958861042169286,0.16791515162366955,0.5579600066916525,19,13
26242,1567270_at,0.022590332145749237,0.45807387848430414,0.0525878146809524,0.650200231223573,0.9647587651323404,19,13
26245,1566289_at,0.004256186655870575,0.42616630643209785,0.009308081285403332,0.6730289794818765,0.9734041878503452,19,13
26246,1567238_at,0.006997749704453771,0.46840340539942493,0.014036491904538689,0.6428817488632372,0.9625043288196354,19,13
26247,1567242_at,-0.05705154836842041,-0.9398227841820782,0.07304425271680358,0.3548146029567842,0.7937173954688332,19,13
26248,1567272_at,-0.03542792849392784,-0.9415854868590756,0.04312868253865541,0.35392579335626356,0.7932319225969957,19,13
26249,221221_s_at,0.16627324955870515,1.2372553113893137,0.11811930826551349,0.225589660137967,0.6474142753877833,19,13
26251,208550_x_at,-0.30160795571255106,-2.187427819441366,0.1614261176105556,0.03663983793386124,0.21732297017073804,19,13
26253,222934_s_at,0.6469972542631579,2.481918646864281,0.21465546926325085,0.01889201350674125,0.13973496191573023,19,13
26254,223884_at,0.011405822967610835,0.21198866241219472,0.05884969094168915,0.8335495793446658,0.9996525187900612,19,13
26255,208511_at,0.29322037239271337,2.8388300438367717,0.104921521742667,0.008048884451955614,0.0793209728570067,19,13
26256,219928_s_at,0.02138735025101246,0.8429432195196329,0.02175678099042079,0.4059309676139373,0.8369351188936426,19,13
26257,207451_at,-0.003982065372469368,-0.588813724272077,0.007439178848442007,0.5603940164901147,0.9284920732636801,19,13
