pert_iname,n_signatures,n_cell_lines,cell_lines
HG-5-88-01,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
HG-6-64-01,136,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
HG-9-91-01,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
HMN-214,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
I-BET-151,129,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
I-BET-762,171,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
IB-MECA,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ICI-162846,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
"ICI-185,282",41,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ICI-192605,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
IKK-2-inhibitor-V,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
IKK-inhibitor-X,6,2,A375|NPC
IOWH-032,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
IOX2,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
IPI-145,6,2,A375|NPC
