gene_id,gene_symbol,log2FC,pvalue,n_datasets,padj
23155,CLCC1,-0.009021275,0.4789948926845101,1,0.8466821564981303
23158,TBC1D9,0.08771597,0.012723941224582792,1,0.10392371315846813
2316,FLNA,0.2823854,0.0004835504116817934,1,0.008209533550876441
23160,WDR43,-0.10266677,0.0014059890186122544,1,0.01942496567368558
23161,SNX13,-0.07431694,0.0018152194014611548,1,0.023769763822947924
23162,MAPK8IP3,-0.010055259,0.6645120458260978,1,1.0
23163,GGA3,0.06297224,0.05086548416785914,1,0.26979879387922995
23164,MPRIP,-0.0073653166,0.8377969902473545,1,1.0
23165,NUP205,-0.034322664,0.021716592630915854,1,0.15227618157346368
23166,STAB1,0.005260872,0.18766493316403743,1,0.577288938086144
23167,EFR3A,-0.06265715,0.02183817984986304,1,0.1528046301488337
23168,RTF1,-0.10467005,0.003873849468547633,1,0.04290661475796292
23169,SLC35D1,-0.013880844,0.030766738759758893,1,0.19385479496081626
2317,FLNB,0.103008956,0.022731599721064644,1,0.15707010801535923
23170,TTLL12,-0.037511125,0.01698477998932586,1,0.12790297351644195
23171,GPD1L,-0.07741488,0.011273738034853022,1,0.09526398350894051
23173,METAP1,-0.05714993,0.11397887586137093,1,0.4450630335041824
23174,ZCCHC14,-0.0677619,7.32770014197377e-05,1,0.0017846871397769876
23175,LPIN1,-0.036726654,0.34408797973043204,1,0.6797635100085188
23177,CEP68,-0.0043355515,0.3210735983209383,1,0.6591637315128221
23178,PASK,0.00789753,0.1983387347673985,1,0.5933250766008771
23179,RGL1,-0.030515961,0.12877313512743296,1,0.4777004065312318
2318,FLNC,-0.0005815598,0.21320853006689888,1,0.6158996645479856
23180,RFTN1,-0.2413145,1.5643889886988756e-09,1,2.34193736537511e-07
23181,DIP2A,0.012081124,0.4890121376952117,1,0.8587472365126576
23185,LARP4B,-0.034297362,0.4112805188898978,1,0.7646474562978088
23186,RCOR1,-0.060801104,0.08552070997592569,1,0.3753259703478632
23187,PHLDB1,0.04509354,0.02489636667854754,1,0.16720607481314922
23189,KANK1,-0.11213942,6.423707196910827e-06,1,0.00023728983700202784
2319,FLOT2,-0.10923923,0.00025574150339729334,1,0.004905531024462243
23190,UBXN4,-0.07740998,0.14533786565621207,1,0.5117830966349225
23191,CYFIP1,0.0030100048,0.9152942371191486,1,1.0
23192,ATG4B,-0.030685663,0.23757303422109632,1,0.6538841440225516
23193,GANAB,-0.09540413,0.0009366499977254122,1,0.013990374928515995
23194,FBXL7,0.008670275,0.15097927914877932,1,0.5225226729518113
23195,MDN1,0.008441053,0.6810806323628598,1,1.0
23196,FAM120A,-0.1576171,0.002099906970158307,1,0.026624475482368747
23197,FAF2,-0.098792806,0.0049702600452304685,1,0.05168992563622943
23198,PSME4,-0.101964116,0.0024145773076174617,1,0.029630472408824327
23199,GSE1,0.06254575,0.2735965896511219,1,0.6591637315128221
23200,ATP11B,0.019737944,0.3316658820548293,1,0.6635650558597913
23201,FAM168A,0.012104336,0.714518305850667,1,1.0
23203,PMPCA,-0.026112244,0.3882791998220374,1,0.7354293196400947
23204,ARL6IP1,-0.1322549,0.004208192434247401,1,0.04561710383126876
23205,ACSBG1,-0.0009867438,0.026951059156716303,1,0.17683607294111053
23207,PLEKHM2,0.043205045,0.3948440144833011,1,0.7434111336423959
23208,SYT11,-0.002066741,0.191229580911781,1,0.5826506860620553
23209,MLC1,-4.1119125e-05,0.17076442655951773,1,0.5500736312915835
2321,FLT1,-0.0024103639,0.21689590161809202,1,0.6212711925477991
23210,JMJD6,-0.07530097,0.007227380718734423,1,0.06860050999015134
23211,ZC3H4,0.024662405,0.44236619008062206,1,0.8030756350672646
23212,RRS1,-0.05188758,0.0014947301375889941,1,0.020380636469416652
23213,SULF1,-0.029242812,0.00831991947522518,1,0.07602283465418584
23214,XPO6,-0.03158454,0.10325520196324411,1,0.42035906902833775
