,pearson,cmap,net_trace,reversal_rank,scrna_rank
UNC-0321,0.06260248154793796,-0.09026315789473682,-0.0431538735207627,1322,277.0
UNC-0638,0.07140417008409053,-0.12451754385964911,0.0590758116054647,58,209.0
UNC-1215,0.019207616307559627,0.0,-0.0974015128242419,1745,653.0
UNC-669,0.06302880698708037,-0.12109649122807017,-0.0499841712958856,1433,273.0
VE-821,0.11118688147321015,-0.14960526315789474,0.0564983031108789,64,19.0
VE-822,0.03448582432214757,-0.12017543859649121,0.0177950359417611,256,512.0
VGX-1027,-0.0022307764099880325,0.0,-0.0133885537512438,735,872.0
VP-20629,-0.08308638530625358,0.18219298245614035,0.0754508805904667,34,1594.0
VT-464,0.019642024896533255,-0.09850877192982456,-0.0218648278322173,897,644.0
VTP-27999,0.048501771211273435,-0.12285087719298246,-0.0153338213057089,775,393.0
VX-222,0.08662698159908659,-0.11403508771929827,-0.031011094192479,1099,100.0
VX-661,0.05093849863152155,0.0,-0.0136108321779685,742,374.0
VX-745,-0.05000752137252095,0.0,-0.0500473003927866,1435,1304.0
VX-765,-0.05019772300188064,0.07451754385964912,0.001096653162992,461,1307.0
WAY-362450,-0.010579360497161997,0.0,-0.0287197336621956,1037,947.0
WH-4-025,0.06124125159351858,0.0,0.1141349760442371,5,286.0
WYE-125132,-0.0810506383570023,0.15679824561403505,-0.031612797670634,1110,1579.0
WZ-3105,-0.06522321852445197,0.0,-0.0229353039228234,914,1448.0
WZ-4-145,-0.09980035108601272,0.0,0.0895181958295982,19,1690.0
WZ-4002,-0.0872455413480155,0.10478070175438597,0.0041550957316045,412,1621.0
WZ-7043,0.06454548869806795,-0.15627192982456142,-0.002256760752696,528,258.0
XBD-173,-0.10067928210114839,0.18096491228070172,-0.0095137206746022,652,1693.0
XL-147,-0.059619276108412236,0.0,-0.0538901779795816,1482,1407.0
XL-888,-0.09251159172982602,0.1762719298245614,0.0446244233056289,92,1654.0
XMD-1150,0.10732266994014542,-0.1455263157894737,0.0329973618765467,147,27.0
XMD-1499,-0.016131838465836625,0.0,-0.0296655679636458,1064,996.0
XMD-16144,0.07707889000920441,-0.125219298245614,0.0216280359311507,219,161.0
XMD-885,0.03481831433480404,-0.07030701754385965,0.0544491859617425,69,510.0
XMD-892,0.04686984822144637,-0.09298245614035089,0.0606307297187191,51,402.0
XMD11-85H,0.07738074998798598,-0.10285087719298248,0.0537197998517982,70,157.0
Y-26763,0.0815756864108374,-0.15811403508771932,0.0021518435831672,438,132.0
Y-27152,0.055581178242184566,-0.1422368421052631,-0.0245897637166186,948,338.0
Y-27632,0.06449565411709243,0.0,-0.0484315341706826,1415,259.0
Y-39983,0.07412362721400395,0.0,-0.030004883664455,1070,188.0
YM-155,-0.036588942844357736,0.1226315789473684,-0.0210816817241903,879,1175.0
YM-201636,0.05621580459791614,-0.09732456140350881,0.0833412168818309,23,332.0
YM-976,0.06032743759529494,0.0,-0.0220217472792175,901,290.0
Z160,0.059298269639916155,-0.08995614035087715,-0.0716077116715236,1655,301.0
ZD-7114,-0.06921352970333879,0.13478070175438597,-0.0716974329304479,1657,1494.0
ZD-7288,-0.04726962980496524,0.1175,-0.055674544964835,1504,1275.0
ZK-200775,-0.040705961337796095,0.0,-0.0717663318945718,1658,1206.0
ZK-811752,-0.002762248969428117,-0.0675438596491228,-0.0277905962970184,1017,874.0
ZK-93423,0.059102731424212046,-0.12425438596491231,-0.0202223722553971,862,303.0
ZK-93426,0.018651705351173345,-0.1006140350877193,-0.0276963364467874,1011,661.0
ZM-447439,0.01882910761438503,-0.10486842105263158,-0.0601208489458738,1560,659.0
ZSTK-474,-0.06954514952676086,0.15662280701754389,-0.0225529571807579,910,1497.0
abacavir,-0.0752059093960572,0.17285087719298248,-0.0421600744747103,1309,1543.0
abiraterone-acetate,-0.006703169809531022,0.0,-0.0657827755957783,1618,912.0
acarbose,-0.001143858532676388,0.050219298245614,-0.017575265103735,811,862.0
acebutolol,0.06944419830162257,-0.10793859649122803,-0.0396088576470457,1263,221.0
acecainide,0.062066766396878935,-0.11013157894736839,-0.0049423790652049,566,280.0
acenocoumarol,-0.05967613995275556,0.13184210526315793,-0.021198442467365,882,1408.0
acetazolamide,-0.0028374352695338667,-0.0731140350877193,-0.0140438749895388,748,876.0
acetylcysteine,-0.02870157796211347,0.0724561403508772,0.0002484799960887,476,1106.0
acexamic-acid,0.09734503953060981,-0.1737719298245614,0.0344365341787349,138,43.0
acifran,-0.0027634450341949327,0.0,-0.0464604578713145,1393,875.0
acipimox,-0.10094175047432058,0.18478070175438593,-0.0004195682498925,492,1697.0
acivicin,-0.04875808301110202,0.14214912280701764,-0.030512554675106,1086,1293.0
aclidinium,-0.08992834064692787,0.16728070175438597,-0.0350915708427896,1177,1633.0
acrivastine,-0.07376301602818418,0.12372807017543858,-0.0419721426455109,1307,1528.0
actarit,0.05013464782075358,-0.13508771929824567,-0.0044941618836515,562,380.0
acyclovir,-0.03176944760927822,0.0,-0.0702917549977353,1649,1136.0
adapalene,-0.008229242603339506,0.09057017543859655,-0.0732961354374952,1669,928.0
adarotene,-0.07451825845368067,0.1375438596491228,-0.0462448233763239,1391,1537.0
adatanserin,0.10788539910795579,-0.15890350877192982,0.0033095503140876,422,23.0
adenosine,-0.05006147710310437,0.10276315789473683,-0.0036323759076204,543,1306.0
adoprazine,-0.06261029048346232,0.10763157894736838,-0.0293122765986765,1051,1431.0
afatinib,0.004619962657084909,0.061184210526315785,0.079279379634215,30,793.0
afloqualone,0.03775565016319873,-0.13245614035087722,-0.0381585979625556,1223,483.0
agomelatine,-0.03865268070343916,0.11157894736842108,-0.0587150100781419,1547,1193.0
alagebrium,0.04297439693245839,-0.05473684210526317,-0.0137820198643192,743,436.0
alaproclate,0.03357524866665539,-0.12135964912280704,-0.0069502836625217,604,523.0
albendazole,-0.05427073418836004,0.17302631578947367,-0.0001608090194426,487,1350.0
alectinib,-0.03880768398860563,0.09978070175438596,-0.0037407421219747,547,1198.0
alisertib,-0.05290328587449757,0.12684210526315792,-0.0271773481722947,994,1331.0
aliskiren,0.04976559669443705,-0.11833333333333336,-0.0049137947957522,565,382.0
alizapride,0.08037048751802041,-0.15649122807017543,-0.0286422330629283,1033,138.0
allopurinol,-0.034527037297266173,0.11403508771929824,-0.0446190072087928,1357,1158.0
almitrine,-0.04735198045053002,0.08732456140350875,-0.0917286011204479,1739,1277.0
almorexant,0.08426522848681052,-0.1308333333333333,-0.0165120648042872,796,120.0
alpelisib,-0.04708334892314758,0.12043859649122804,-0.0785351511886657,1701,1270.0
alprostadil,0.06648204498844182,-0.1419736842105263,-0.0577103306398399,1533,242.0
altanserin,0.039398232750884415,-0.0969736842105263,-0.0392599611738246,1254,470.0
altrenogest,-0.082868578975583,0.12197368421052637,-0.0139173643730911,745,1592.0
altretamine,0.04241781915806509,-0.07653508771929826,0.0023351343410573,435,439.0
alvespimycin,-0.05976653691155853,0.16346491228070176,0.0585728459876997,59,1410.0
alvimopan,-0.1279043573330127,0.19280701754385965,-0.0089749168157673,639,1753.0
alvocidib,-0.06911069046905108,0.062324561403508755,-0.0458734460434104,1383,1493.0
amantadine,0.025974529720483655,-0.10903508771929825,-0.0425346397729884,1314,583.0
ambrisentan,-0.01593576079736948,0.0,-0.002776952590854,536,994.0
ambroxol,-0.05147463252558703,0.1262280701754386,-0.032181862597596,1120,1321.0
amcinonide,0.014046778709365723,0.0,-0.0435983876975426,1330,704.0
amfepramone,0.03005797176994825,0.0,-0.027447438342668,1001,549.0
amikacin,-0.05604301171372012,0.1535087719298246,-0.0038875428175638,552,1370.0
amiloride,0.004132141461120672,-0.10258771929824562,-0.0062085129147497,590,799.0
amineptine,-0.10225107938288386,0.18364035087719302,-0.0156489027079415,781,1700.0
aminocaproic-acid,0.027596677398097565,-0.08894736842105266,-0.0192698321113137,844,570.0
aminoglutethimide,-0.043258084310377455,0.06859649122807021,-0.0624343027277144,1585,1237.0
aminoguanidine,-0.031759526246321834,0.15228070175438596,-0.0228798052695035,913,1135.0
aminosalicylic-acid,-0.025092077037065858,0.11491228070175441,0.0009150279793849,465,1074.0
amiodarone,0.05851632782662318,-0.13057017543859648,-0.0247704463784779,952,311.0
amiprilose,0.026779904995965473,-0.12206140350877198,-0.0149755445810205,770,577.0
amitifadine,0.05044928785887142,-0.13644736842105262,-0.0186201532145301,826,379.0
amitriptyline,-0.0008317298135666782,0.0,-0.0317793579940573,1113,859.0
amlexanox,0.061217157113789895,-0.1181578947368421,-0.0082937974773247,625,287.0
amlodipine,0.07292894130198935,-0.11723684210526314,-0.0112630066638228,679,196.0
ammonium-glycyrrhizinate,0.05321388302109415,-0.09846491228070173,-0.034570027988545,1164,355.0
amodiaquine,0.08274232064009596,-0.10267543859649124,-0.001380358248403,513,127.0
amonafide,0.018648949164859957,-0.07583333333333332,-0.058075966112973,1536,662.0
amoxapine,0.12832265316082242,-0.22263157894736843,0.018457763103603,249,5.0
ampalex,-0.05537923091189177,0.14692982456140355,-0.0213234180867281,883,1363.0
amrinone,0.063400211120329,-0.13026315789473683,-0.0246410735376128,949,270.0
amsacrine,-0.041413422368544756,0.0,-0.043363048748779,1325,1212.0
amtolmetin-guacil,-0.01161990029771998,0.0,-0.0604105557828687,1562,957.0
amuvatinib,0.016983024428891717,0.0,0.0045816867248407,406,672.0
anacardic-acid,0.05684304699081306,-0.1083333333333333,-0.0741711336250263,1675,327.0
anacetrapib,0.08332011381367196,-0.14701754385964916,0.0160475706428087,278,124.0
anagrelide,0.02007182756111466,0.10315789473684209,0.0408527620111257,107,639.0
anamorelin,-0.0068318873668315756,0.08008771929824565,0.011482914671288,328,915.0
anandamide,0.061745862576801765,-0.15144736842105266,0.0354683171977326,136,283.0
anastrozole,0.036182387826003026,0.0,-0.0186854317714437,827,496.0
andarine,-0.03685987648480471,0.08894736842105264,0.019285074046503,237,1176.0
andrographolide,0.05356429363296753,-0.10793859649122807,-0.0162530259774524,795,352.0
anecortave-acetate,0.0013108478349252869,0.0,0.0001734306685045,479,835.0
anidulafungin,0.07208913736977977,-0.13828947368421052,-0.0167578467250082,802,203.0
aniracetam,-0.04452099385162474,0.10192982456140351,-0.0331372412823829,1142,1248.0
anisodamine,-0.07133803418931003,0.12052631578947368,-0.0534611869009973,1478,1511.0
apabetalone,0.12349538785487028,-0.1658333333333333,0.0152855248851928,288,8.0
apafant,-0.01964470509067965,0.0,-0.0342260288774727,1155,1024.0
aphidicolin,-0.07470872197871194,0.0,-0.0274195155943935,1000,1538.0
apixaban,-0.024674649107281673,0.1049122807017544,-0.0080849246675202,623,1069.0
apocynin,-0.0588726587236044,0.176359649122807,-0.0111424891274879,678,1395.0
apremilast,-0.07021131004215907,0.17508771929824563,-0.0826082465560053,1713,1505.0
aprepitant,-0.10338550408703304,0.18421052631578946,-0.011751899835034,689,1702.0
arbutin,-0.0180209566126323,0.0,0.0080690369961067,368,1011.0
argatroban,0.01033833901865201,0.0,-0.0003283874744714,491,741.0
arglabin,0.029346763947487992,-0.13969298245614034,-0.0380221244753552,1221,554.0
aripiprazole,0.05572983958809423,-0.11697368421052634,0.020991794559453,224,337.0
armodafinil,-0.08443130793603522,0.14,0.0103942126350596,336,1601.0
arofylline,0.10485241802823601,-0.1464473684210526,-0.0154412977421208,778,29.0
artesunate,0.055496920221760136,-0.12697368421052635,-0.0741627752988541,1674,339.0
asenapine,0.031673645941835575,-0.10175438596491226,-0.0140983915754153,750,537.0
aspirin,-0.08366744144709916,0.12241228070175438,0.0048157204689686,403,1596.0
asymmetrical-dimethylarginine,-0.04468922928487816,0.1053508771929825,-0.0266649789458193,986,1251.0
ataluren,-0.06396771314928762,0.0,-0.0106504336408305,672,1440.0
atenolol-(+/-),-0.021218413559563942,0.10162280701754385,-0.0194220816630351,850,1036.0
atipamezole,0.040784719591618356,-0.1276315789473684,0.0192149068485871,239,453.0
atomoxetine,0.0361168626925146,-0.08535087719298246,-0.0678250356832734,1635,497.0
atorvastatin,0.013778064268967743,0.0,0.1114189474139403,6,708.0
atovaquone,0.037899552175280106,-0.10706140350877194,-0.0004206742089208,493,482.0
atracurium,0.016923960957354538,0.0,-0.0403765424212538,1281,673.0
atrasentan,-0.04720275259422986,0.05298245614035091,-0.0659590732015451,1621,1273.0
aurora-a-inhibitor-i,-0.04368372689726732,0.0,-0.0448315240068666,1361,1241.0
avagacestat,-0.05259341722522103,0.09171052631578949,0.0224909969640139,208,1330.0
avanafil,0.05735865895920854,-0.1448684210526316,0.0023278221318233,436,325.0
