,pearson,cmap
KN-62,-0.006121498229934176,0.0
KN-93,0.045408927280187826,-0.09184210526315786
KU-55933,0.03992340417122362,-0.09644736842105267
KU-60019,-0.019755066554644842,0.08526315789473682
KW-2449,-0.03972074601978805,0.0
KW-2478,-0.038406427886143645,0.1548684210526316
KX2-391,-0.046233748863054744,0.12864035087719305
L-655240,-0.06027036620072661,0.15631578947368419
L-690330,-0.0415866819003075,0.10320175438596493
L-NAME,0.006537238147139022,0.0
L-citrulline,-0.003843453909466072,0.0
L-ergothioneine,-0.06705236026320098,0.1412280701754386
LCL-161,-0.022123516991372955,0.08855263157894738
LCQ-908,0.0033857923941322905,0.0
LDN-193189,-0.03244821193029555,0.0
LGX-818,-0.010224457171288311,0.09289473684210528
LX-1031,-0.034479942421894866,0.06065789473684208
LXR-623,0.07721843701830709,-0.15078947368421053
LY-2090314,0.03726576243313002,0.0
LY-215490,-0.07487699524337028,0.1414035087719298
LY-2157299,-0.013059091217349343,0.08771929824561403
LY-2228820,-0.06233602606682639,0.13842105263157894
LY-2334737,0.03489709303504519,-0.09749999999999998
LY-2603618,0.0227194371780492,0.0
LY-2784544,-0.06480762817218609,0.10635964912280704
LY-2801653,-0.10705685668474511,0.1592105263157895
LY-2811376,0.019476328534203034,-0.12605263157894736
LY-2874455,0.007012009869039675,-0.0681140350877193
LY-2886721,-0.005088555450127554,-0.1201754385964912
LY-294002,-0.11557760933762568,0.14684210526315788
MBX-2982,0.045754931438420604,-0.1338157894736842
MC1568,0.014826980375999306,0.0
MD-920,-0.09269689215538572,0.14600877192982456
MDL-73005EF,-0.09998091625473478,0.14394736842105266
MF-101,-0.1086451858060493,0.16833333333333333
MG-132,-0.0020067519276740467,0.11048245614035088
MGCD-265,-0.04186083442088925,0.09482456140350876
MK-0752,-0.02288485479151177,0.08219298245614036
MK-0773,0.09116912446164098,-0.18456140350877195
MK-0812,0.009552375170838037,0.0
MK-0893,0.026763430521663842,0.0
MK-1775,-0.04857963943186255,0.12846491228070173
MK-2206,-0.12972466946296116,0.18162280701754382
MK-2461,0.047980257844409874,-0.07307017543859652
MK-3207,0.0326810156862031,-0.11293859649122803
MK-5108,-0.016155342696290775,0.0875
MK-8033,0.07531650408825168,-0.12140350877192979
MK-8245,0.06288469511209727,-0.1628070175438596
MLN-0128,-0.060336039837174026,0.1776315789473684
MLN-2480,0.02027076293567447,-0.11666666666666665
MLN-8054,-0.054326407571454696,0.13157894736842102
N6022,-0.023705556540850315,0.11179824561403509
NF-449,0.07429879870163446,-0.1343859649122807
NMS-1286937,-0.022295585886912616,0.12552631578947374
NPK76-II-72-1,0.01477245796465764,0.0
NSC-4644,-0.024908279872849937,0.0
NSI-189,0.030879948292250565,0.0
NU-7026,-0.10562176958825349,0.19986842105263158
NU-7441,0.09620496610955963,-0.11557017543859649
NVP-AEW541,-0.09937098532462066,0.14995614035087718
NVP-AUY922,-0.011883878731792806,0.10429824561403506
NVP-BEZ235,-0.08474149736167592,0.17219298245614034
NVP-BGJ398,-0.09454948559149462,0.15035087719298248
NVP-BHG712,-0.06807099386497908,0.0895175438596491
NVP-DPP728,0.06324188471371546,0.0
NVP-TAE226,-0.09590726113842885,0.17442982456140352
NVP-TAE684,0.022395539261216818,0.0
NXY-059,-0.04162598714921316,0.11109649122807022
O6-benzylguanine,0.03663664129214401,-0.08390350877192987
OCO-1112,0.0032228739738451757,0.0
ORE-1001,0.01961494493672579,-0.07210526315789476
ORG-9768,0.06389649853283834,-0.1285964912280702
OSI-027,-0.11421226611450716,0.17504385964912278
OSI-930,0.05429641184303711,0.0
OTS-167,-0.10466663417667976,0.12245614035087718
PA-824,-0.06595154610952712,0.10776315789473681
