gene_symbol,log2FC,pvalue,padj,dataset
CELA2B,-6.960008e-05,0.32818308,0.6361638969490901,GSE135893
CASP9,0.0031204075,0.7871914,1.0,GSE135893
DNAJC16,0.022848569,0.44503987,0.7991314077851184,GSE135893
RP4-680D5.8,0.0,,1.0,GSE135893
AGMAT,-0.0007109218,0.05505517,0.220521747520352,GSE135893
RP4-680D5.2,-0.0032155355,0.12720224,0.39432812242128884,GSE135893
DDI2,-0.06561868,0.0028527707,0.023821872879336722,GSE135893
RSC1A1,0.0,,1.0,GSE135893
RP4-680D5.9,0.0,,1.0,GSE135893
PLEKHM2,0.043205045,0.39484403,0.7303400631825495,GSE135893
RP11-288I21.1,0.0,,1.0,GSE135893
SLC25A34,0.007897922,0.06953205,0.26064338713191426,GSE135893
RP11-169K16.4,0.0,,1.0,GSE135893
TMEM82,-0.00013598715,0.26919714,0.6358449566000769,GSE135893
FBLIM1,0.012463201,0.06425646,0.24591744042888983,GSE135893
UQCRHL,-0.0025665069,0.2508621,0.6047271597069902,GSE135893
FLJ37453,-0.034922376,0.03610002,0.16354270615749714,GSE135893
SPEN,-0.064128816,0.22516638,0.5643649131607231,GSE135893
ZBTB17,-0.051946323,0.01114091,0.06831334317992827,GSE135893
C1orf64,-1.6396536e-05,0.32818285,0.6361638969490901,GSE135893
RP11-5P18.5,0.0,,1.0,GSE135893
HSPB7,0.005115604,0.28044114,0.6361638969490901,GSE135893
CLCNKA,-0.00022269996,0.051735483,0.2113452191933426,GSE135893
CLCNKB,0.0093411915,0.36628333,0.690397764121187,GSE135893
FAM131C,-1.6396536e-05,0.32818285,0.6361638969490901,GSE135893
EPHA2,-0.17088099,0.0021305608,0.0189612033606959,GSE135893
RP11-276H7.2,-0.021359712,0.19711018,0.5191862314771756,GSE135893
RP11-276H7.3,-0.0014964835,0.0053450507,0.03891446384240679,GSE135893
ARHGEF19-AS1,0.0,,1.0,GSE135893
ARHGEF19,-0.013219446,0.29558453,0.6361638969490901,GSE135893
RSG1,-0.0075473236,0.003512588,0.028091291763873892,GSE135893
FBXO42,0.022091933,0.39491493,0.7303910136275188,GSE135893
SZRD1,-0.10228492,0.0064244624,0.04487268591861844,GSE135893
SPATA21,0.0031640762,0.29674372,0.6361638969490901,GSE135893
NECAP2,-0.0052545667,0.8073491,1.0,GSE135893
RP4-798A10.2,0.0015210302,0.49807313,0.8683228680460453,GSE135893
RP4-798A10.7,-0.00046266755,0.85084903,1.0,GSE135893
RP4-798A10.4,-2.4722587e-05,0.328183,0.6361638969490901,GSE135893
RP5-875O13.1,0.010045611,0.32818285,0.6361638969490901,GSE135893
FAM231C,0.0,,1.0,GSE135893
NBPF1,0.004546508,0.837272,1.0,GSE135893
RP5-1182A14.5,0.0,,1.0,GSE135893
RP1-163M9.8,-5.7799596e-05,0.81492674,1.0,GSE135893
FAM231A,0.0,,1.0,GSE135893
RP1-163M9.7,0.0,,1.0,GSE135893
FAM231C.1,0.0,,1.0,GSE135893
RP5-1182A14.7,-0.0006336115,0.15331496,0.449238574028492,GSE135893
CROCC,0.0030290782,0.78726554,1.0,GSE135893
RP11-108M9.1,-2.6907888e-05,0.328183,0.6361638969490901,GSE135893
RP11-108M9.2,0.0,,1.0,GSE135893
RP11-108M9.3,-0.00039174643,0.0940897,0.32185364583724646,GSE135893
RP11-108M9.4,-0.19374841,1.8702123e-06,6.74678071190991e-05,GSE135893
RP11-108M9.6,0.012316565,0.4494171,0.8045191928489391,GSE135893
MFAP2,0.008483441,0.09323739,0.31968461447145663,GSE135893
RP1-37C10.3,0.0,,1.0,GSE135893
ATP13A2,0.03022208,0.24860208,0.60132077492704,GSE135893
SDHB,-0.1433041,0.01591192,0.08917768335828702,GSE135893
PADI2,0.0,,1.0,GSE135893
RP11-380J14.1,0.0,,1.0,GSE135893
RP11-380J14.4,0.0,,1.0,GSE135893
PADI1,0.0,,1.0,GSE135893
PADI3,0.0,,1.0,GSE135893
PADI4,-9.846678e-05,0.1976778,0.5198222371504388,GSE135893
AC004824.2,0.0,,1.0,GSE135893
PADI6,0.0,,1.0,GSE135893
RP1-20B21.4,0.0,,1.0,GSE135893
RCC2,-0.02136292,0.21037109,0.5398298422191395,GSE135893
ARHGEF10L,-0.006959712,0.20142461,0.5252941896648783,GSE135893
RP11-473A10.2,0.0,,1.0,GSE135893
ACTL8,0.0,,1.0,GSE135893
RP11-174G17.2,0.0,,1.0,GSE135893
IGSF21,-5.3589287e-05,0.16317098,0.4644764468584727,GSE135893
RP11-174G17,0.0,,1.0,GSE135893
RP11-422P22.1,0.0,,1.0,GSE135893
KLHDC7A,-0.0060900757,0.0023894827,0.02071827835687621,GSE135893
PAX7,0.0,,1.0,GSE135893
TAS1R2,0.0,,1.0,GSE135893
RP13-279N23.2,0.0,,1.0,GSE135893
ALDH4A1,-0.033570733,0.00091278885,0.009560306944996107,GSE135893
IFFO2,-0.0738671,2.2873821e-06,7.912839169993607e-05,GSE135893
UBR4,-0.016108096,0.6452626,1.0,GSE135893
RP1-43E13.2,-0.0063733053,0.0010000676,0.010301521445776287,GSE135893
EMC1,-0.008544393,0.5060883,0.8792935458231826,GSE135893
MRTO4,-0.066889405,0.00241028,0.020877114676446644,GSE135893
AKR7A3,-0.0011401231,0.002086267,0.01866065408554366,GSE135893
AKR7A2,-0.14116956,0.00015096998,0.002305885082580857,GSE135893
PQLC2,-0.03517082,0.025940903,0.12861282664574267,GSE135893
CAPZB,0.008434832,0.85365695,1.0,GSE135893
RP5-1056L3.1,-6.0515733e-05,0.328183,0.6361638969490901,GSE135893
MINOS1,-0.16310191,0.004739906,0.03538807857296279,GSE135893
MINOS1-NBL1,-2.6907888e-05,0.328183,0.6361638969490901,GSE135893
NBL1,0.026495036,0.03611824,0.16354270615749714,GSE135893
HTR6,0.0,,1.0,GSE135893
TMCO4,-0.010157336,0.435697,0.7866031376200142,GSE135893
RNF186,0.0,,1.0,GSE135893
RP11-91K11.2,0.0,,1.0,GSE135893
OTUD3,-0.030268773,0.0897692,0.31150189573990694,GSE135893
PLA2G2E,0.0,,1.0,GSE135893
PLA2G2A,-0.005870184,0.22165893,0.5581895361410841,GSE135893
PLA2G5,-0.00044980348,0.328183,0.6361638969490901,GSE135893
PLA2G2D,0.0,,1.0,GSE135893
PLA2G2F,0.0,,1.0,GSE135893
RP3-340N1.2,-0.0002199769,0.328183,0.6361638969490901,GSE135893
PLA2G2C,-1.6396536e-05,0.32818285,0.6361638969490901,GSE135893
UBXN10-AS1,-0.006077382,0.00023802249,0.0033071875445827956,GSE135893
UBXN10,-0.0063216146,0.06705509,0.2534694350973383,GSE135893
RP3-340N1.6,0.0,,1.0,GSE135893
VWA5B1,0.0,,1.0,GSE135893
RP4-745E8.2,0.0,,1.0,GSE135893
LINC01141,0.0,,1.0,GSE135893
RP4-749H3.2,0.0,,1.0,GSE135893
CAMK2N1,0.00046808727,0.70778483,1.0,GSE135893
MUL1,0.0038741305,0.76955396,1.0,GSE135893
FAM43B,0.0,,1.0,GSE135893
CDA,-0.00046594266,0.27974027,0.6361638969490901,GSE135893
PINK1,-0.022493623,0.39379993,0.7289741927025777,GSE135893
PINK1-AS,-0.0052412124,0.0009028135,0.009476448101937377,GSE135893
DDOST,-0.20924169,0.00024860477,0.003423166842386165,GSE135893
KIF17,-0.00034981366,0.037560888,0.16840672627616865,GSE135893
SH2D5,-0.00053304265,0.32245135,0.6361638969490901,GSE135893
