,rwr_up,rwr_down,rwr_net
10206,1.567456979680059e-06,4.272122211690936e-05,-4.11537651372293e-05
10208,1.934310940449345e-07,6.298682431369396e-05,-6.279339321964903e-05
10209,4.962833111718835e-07,0.0007736669469487512,-0.0007731706636375794
1021,0.0003954976885882115,8.00533262978171e-06,0.0003874923559584298
10210,5.131227724287129e-06,2.0129727223464173e-05,-1.4998499499177044e-05
10211,3.333879167405444e-05,4.483924307038663e-05,-1.1500451396332187e-05
10212,2.6873780587513015e-05,6.2808490780291096e-06,2.0592931509483906e-05
10213,6.46759579532396e-06,8.423564018051442e-05,-7.776804438519046e-05
10214,1.160796649861715e-06,3.0268262238588946e-07,8.581140274758255e-07
10215,5.430607822328405e-06,1.93771848737279e-05,-1.3946577051399494e-05
102157402,5.581111969677052e-07,0.00010489306159675042,-0.00010433495039978271
10216,6.611335744256526e-07,1.5445052642459399e-06,-8.833716898202872e-07
10217,5.780294265987269e-05,1.4220172700486981e-06,5.638092538982399e-05
10219,3.0614851797399785e-06,8.808192849620741e-06,-5.746707669880763e-06
1022,5.551290947549242e-06,8.221535567550908e-05,-7.666406472795983e-05
10220,9.791544493435097e-05,1.2514628954160156e-05,8.540081598019082e-05
10221,9.79870553198779e-07,0.00038282416096074737,-0.0003818442904075486
10223,3.036574029277116e-06,9.475585388419626e-07,2.0890154904351538e-06
10225,5.0140197045732e-07,7.730179974078625e-07,-2.7161602695054247e-07
10226,2.848820866470522e-05,6.228596547463561e-05,-3.3797756809930393e-05
10228,1.7921375725189327e-05,9.718872827942589e-05,-7.926735255423656e-05
10229,2.8647938039613872e-05,1.3961043005511286e-05,1.4686895034102586e-05
10231,1.568882421282304e-07,0.00010076644428648971,-0.00010060955604436147
10232,0.0019837790060462913,3.160908266519082e-06,0.001980618097779772
10235,3.851776622348429e-06,1.7131490160595599e-06,2.1386276062888693e-06
10236,1.7472141684779668e-06,0.00012604670150783277,-0.0001242994873393548
10237,8.158699691337242e-07,0.00014496171418850297,-0.00014414584421936925
10238,8.03524371497669e-06,9.246254705355183e-05,-8.442730333857513e-05
10239,4.699742109225291e-06,5.588100755596615e-05,-5.118126544674086e-05
1024,3.046135643238686e-05,9.959132436001375e-06,2.0502223996385484e-05
10240,2.549410578852728e-07,5.35158123967869e-05,-5.326087133890163e-05
10241,2.599073665275144e-05,0.00016681385205263093,-0.00014082311539987948
10242,3.423922381564113e-06,5.152927889518367e-07,2.9086295926122763e-06
10243,6.973496822120692e-06,7.747334917409167e-05,-7.049985235197098e-05
10244,5.464647983547253e-07,6.336177846508438e-05,-6.281531366672965e-05
10245,4.1262408057718445e-06,0.00011444040976729327,-0.00011031416896152142
10246,1.857690674281752e-08,2.8441291867812054e-07,-2.6583601193530303e-07
10248,1.627842500241187e-06,5.775960931377302e-05,-5.6131766813531836e-05
10249,1.493006371066178e-06,4.079010811982931e-06,-2.5860044409167526e-06
1025,1.0744049397461423e-05,3.5305608412346445e-05,-2.4561559014885022e-05
10250,2.384599253605524e-06,0.0002839279418433218,-0.0002815433425897163
10251,4.704529857106412e-08,4.320531689393212e-07,-3.850078703682571e-07
10252,6.708186174384633e-07,7.077710122976668e-05,-7.010628261232822e-05
10253,9.614697973111333e-07,2.7216867220415093e-05,-2.625539742310396e-05
10254,3.763564601771787e-06,8.298464589135951e-05,-7.922108128958772e-05
10256,4.538714962663645e-05,8.95924305978931e-07,4.449122532065752e-05
10257,4.521981474452422e-06,0.00021582388719984476,-0.00021130190572539234
1026,0.00013271053705626515,2.7548584721237972e-05,0.00010516195233502718
10260,2.0610757502716565e-07,8.718037758464167e-05,-8.69742700096145e-05
10261,3.674561915366113e-05,1.075464982259256e-05,2.599096933106857e-05
10262,6.6379630283990075e-06,4.5064092121315446e-05,-3.842612909291644e-05
10265,3.2023553270352455e-07,7.823828255498363e-05,-7.791804702228011e-05
10266,4.268164264803852e-05,2.7071373926004196e-05,1.561026872203432e-05
10267,1.31532739771001e-06,2.0225006840296735e-05,-1.8909679442586725e-05
10268,3.3939685304364175e-05,1.4334968448330776e-06,3.25061884595311e-05
10269,1.4647564399927384e-05,3.297359909723673e-05,-1.8326034697309344e-05
1027,2.974098089028369e-05,2.3924344003807668e-05,5.816636886476022e-06
10270,2.624137648620827e-06,1.5192908869833109e-05,-1.2568771221212281e-05
10272,0.0031638535758986143,6.188364637349743e-07,0.0031632347394348792
102723555,2.1417665417343525e-05,1.0016645727141808e-07,2.1317498960072108e-05
102723631,0.0,0.0,0.0
102723680,0.0,0.0,0.0
102723737,0.0,0.0,0.0
102724101,0.0,0.0,0.0
102724473,2.2980765702284052e-07,3.429643826349787e-05,-3.406663060647503e-05
10273,1.3328667536961619e-05,0.00013481114513599852,-0.00012148247759903691
10274,1.8415691721307794e-06,2.707413329329827e-05,-2.5232564121167488e-05
10276,2.7753973302867775e-07,1.9742169253113242e-05,-1.9464629520084565e-05
10277,2.281594838496317e-06,4.075041697384288e-05,-3.846882213534656e-05
10278,4.7255962491205443e-07,2.1854326047162127e-05,-2.138176642225007e-05
10279,3.410243144560665e-08,1.3584501282639414e-05,-1.3550398851193806e-05
1028,0.0002352418461306807,1.7632714671420937e-05,0.00021760913145925977
10280,1.0319118394934108e-05,0.00012403656832270035,-0.00011371744992776624
10282,9.72681421078505e-06,0.00012468605585392063,-0.00011495924164313558
10283,9.760143352474993e-07,7.229712349226808e-05,-7.132110915702058e-05
10284,3.6022365654063865e-06,0.00033710287842069863,-0.00033350064185529225
10285,1.8678537422468668e-07,4.491921286634976e-05,-4.473242749212507e-05
10286,9.50083274341266e-07,0.00010994729365243343,-0.00010899721037809217
10287,2.9411298758262473e-06,1.371147656271362e-05,-1.0770346686887372e-05
10288,6.603902069220158e-06,5.1589359134932705e-06,1.4449661557268871e-06
