,rwr_up,rwr_down,rwr_net
10112,4.871583408055493e-06,2.1329973890241176e-05,-1.6458390482185683e-05
10113,1.2500426843938578e-06,8.112650096405877e-05,-7.987645827966491e-05
10114,2.7832646261301686e-07,8.690548335809488e-05,-8.662715689548186e-05
10116,8.132510644370065e-07,5.77309771233269e-05,-5.6917726058889895e-05
10117,1.1391714171082606e-05,1.3660163874490032e-05,-2.268449703407426e-06
1012,1.1060082431762704e-05,5.282586187302483e-06,5.777496244460221e-06
10120,4.250347995255025e-06,4.666820277683816e-05,-4.241785478158314e-05
10121,0.0002824756487518323,7.350973960006154e-06,0.0002751246747918261
10123,0.0007148869405083426,1.470646492620631e-06,0.000713416294015722
10124,2.681409964767443e-06,7.402763466835661e-05,-7.134622470358917e-05
10125,4.3429942567632115e-06,2.754920095880847e-05,-2.320620670204526e-05
10126,2.2310631680515569e-07,5.278702429418581e-05,-5.256391797738066e-05
10127,1.382641989154456e-07,3.454645432711971e-05,-3.4408190128204264e-05
10128,2.304552345297959e-06,0.00015512292589415428,-0.00015281837354885633
1013,6.634447621545218e-06,2.5930917235599476e-05,-1.9296469614054257e-05
10130,1.1384882719447669e-06,0.0002619164607711458,-0.00026077797249920103
10131,2.0206706732871938e-05,9.20106957564843e-06,1.1005637157223508e-05
10133,0.00045019024534460834,2.195875701490995e-05,0.0004282314883296984
10134,7.3495512192812786e-06,8.705228848245264e-05,-7.970273726317136e-05
10135,2.0838078909313504e-05,0.00041872454829407424,-0.00039788646938476073
10136,6.204942519032197e-07,5.61932287493166e-06,-4.9988286230284405e-06
10138,2.571232266661404e-06,9.684342270447111e-05,-9.427219043780971e-05
10139,3.1062913739676083e-06,6.267546547191538e-05,-5.9569174097947774e-05
10140,9.934553107134008e-07,0.00023950599998449177,-0.00023851254467377838
10142,5.304014488180982e-05,1.5427403045149945e-05,3.761274183665987e-05
10144,1.7595548031770245e-06,0.0002112372548188936,-0.00020947770001571658
10146,8.023282874084714e-06,0.00017682069058830416,-0.00016879740771421945
10147,1.6448407307129842e-08,3.639142266322506e-05,-3.637497425591793e-05
10148,5.404640617293178e-07,5.2902720220070485e-06,-4.749807960277731e-06
10149,4.545163437680107e-06,3.5761069385181785e-07,4.187552743828289e-06
1015,3.7523165035822295e-05,8.033220197133616e-06,2.948994483868868e-05
10150,4.359358869439686e-06,2.367878032441723e-05,-1.9319421454977545e-05
10152,0.00027547696296973453,2.5282752886811837e-05,0.0002501942100829227
10153,2.676177134395461e-06,0.00011952574681121982,-0.00011684956967682436
10154,7.085461686745265e-05,5.836142306245211e-07,7.027100263682813e-05
10155,0.00010784637310589562,0.00017996778122620754,-7.212140812031191e-05
