drug,pearson,cmap
amiprilose,0.03643904095057203,-0.08146015388522004
amitifadine,0.02344548668178774,0.0
amitriptyline,-0.07281544276310335,0.11767983493041072
amlexanox,-0.05062945691416319,0.0
amlodipine,0.058056501395040365,-0.10685073971674575
ammonium-glycyrrhizinate,-0.03238323308249054,0.0
amodiaquine,-0.07866894973035077,0.0
amonafide,-0.02366607883304074,0.07748259997868318
amoxapine,-0.03703275066949472,0.07290140768147216
ampalex,0.03616469334093028,-0.08046715126967952
amrinone,-0.003955025442797182,0.0
amsacrine,-0.018622414170530125,0.14909649216369203
amtolmetin-guacil,0.05390569287010839,-0.09270435923691697
amuvatinib,-0.031670893618811334,0.0
anacardic-acid,0.0006805497082992196,0.0
anacetrapib,-0.008413612152101662,0.0
anagrelide,-0.0973897577970211,0.10097351947930334
anamorelin,-0.045558617528955396,-0.10103582152973475
anandamide,-0.0327683029296435,0.0
anastrozole,0.006196421111222335,0.0
andarine,-0.07593682881695225,0.0
andrographolide,0.021032221961465387,0.0
anecortave-acetate,-0.02480606868582275,0.0
anidulafungin,-0.07216674157423514,0.08312526749729097
aniracetam,-0.0036409057647976578,0.0
anisodamine,0.004193654777018943,0.0
apabetalone,0.003690825819872219,0.0
apafant,-0.0007930689234384161,0.0
aphidicolin,-0.05800622098049032,0.0
apixaban,0.004140563621289405,-0.06999698077267488
apocynin,0.03127059460353728,-0.10529616383625016
apremilast,0.04020903469804831,0.0
aprepitant,-0.026843810096734706,0.0
arbutin,0.006435434622227774,0.0
argatroban,-0.04546373869343562,0.10273789993202231
arglabin,-0.04799587178317073,0.06389528307730447
aripiprazole,0.05853546576243586,-0.11177012243158112
armodafinil,0.00833954811755767,0.0
arofylline,0.06474058551739612,-0.12477454347833494
artesunate,-0.027083811123909503,0.0
asenapine,-0.04391539633781965,0.0
aspirin,-0.05692537904659378,0.0
asymmetrical-dimethylarginine,-0.004688469542805626,-0.08501967169472932
ataluren,0.041306703559925585,-0.12071641521911441
atenolol-(+/-),0.006336777548220778,0.0
atipamezole,-0.007161317430321448,0.0
atomoxetine,-0.010918973049840422,0.0
atorvastatin,-0.022299986540435787,0.0
atovaquone,-0.037030183470961604,0.0
atracurium,0.04315476132298246,-0.07542419992973666
atrasentan,0.004668685803368232,-0.062043807228957956
aurora-a-inhibitor-i,-0.10095043318096192,0.10340827544039694
avagacestat,0.016400171539196286,0.0
avanafil,-0.0373994691502115,0.0
avasimibe,-0.029974392520877254,0.0
azacitidine,-0.04020322914486308,0.0
azathioprine,-0.00030802221750903555,0.0667045297474056
azelaic-acid,0.013686141981287802,0.0
azelastine,0.009675268045875679,-0.08575798927686226
azithromycin,0.03467334011430276,0.0
bafilomycin a1,-0.07443983243679278,0.12314755533777297
baicalin,-0.03887308083902847,0.0
balaglitazone,-0.09858004357003737,0.0
balapiravir,0.007250693735438205,0.0
balicatib,-0.04303551509686775,-0.06517611711677058
