drug,pearson,cmap
I-BET-762,0.04410061627407056,0.0
IB-MECA,0.026786104028171474,0.2261495457645697
ICI-162846,-0.08592792608493774,0.0
"ICI-185,282",0.06990083759371403,-0.2909125600548378
ICI-192605,0.00818478442867419,-0.2320468742381332
IKK-2-inhibitor-V,0.04090848326925019,-0.19847395866133505
IKK-inhibitor-X,-0.046655544286634,0.20885490746011615
IOWH-032,-0.0017307936843513083,-0.1552341100336811
IOX2,-0.010609740046034296,-0.22185303046850519
IPI-145,0.013240534514729832,0.0
JNJ-26481585,-0.02596835274730133,0.15534862495045118
JNJ-38877605,-0.04602444387511229,-0.20783896387959652
JNK-9L,-0.051169563683082946,0.0
JNK-IN-5A,0.01493061224234817,0.0
JQ1-(+),0.02062165532307517,0.12883675737786654
JQ1-(-),0.019716640893078792,-0.21011470213002903
JTC-801,-0.030320398872142447,0.0
JTE-907,-0.0845947670016917,0.0
JW-7-24-1,0.04180929675412447,0.0
JW55,-0.009558690347474785,0.0
JWE-035,0.048152390679058577,0.0
KBG,0.02191323056182108,0.0
KD-023,0.023193762741353187,-0.2143607773013971
KD-025,0.027605853181038725,-0.23144141932056733
KI-20227,0.023768727926594936,-0.21742683755957992
KIN001-043,-0.00212243536044115,0.0
KIN001-055,0.05375562075456022,-0.23639341019858492
KIN001-127,0.05953265229703886,-0.216785353962697
KIN001-242,-0.021055009042496752,-0.23493804979384803
KIN001-244,0.01872461296239458,-0.21610267307347675
KIN001-260,-0.07716096658669369,0.23631410952792584
KIN001-266,-0.025255752205824347,0.0
KIN001-269,-0.06325721923633697,0.0
KIN001-270,-0.024591303892770852,0.0
KN-62,-0.002445010305021605,0.3095409183091007
KN-93,0.08380848610840508,-0.11823406208184879
KU-55933,-0.003324871734304175,0.0
KU-60019,0.020813753110863496,0.0
KW-2449,0.061548292071316756,-0.2013056600495611
KW-2478,0.018335250529982042,0.0
KX2-391,0.05506192443234665,0.0
L-655240,-0.0369393246275217,0.0
L-690330,-0.08438437643947817,0.0
L-NAME,-0.018657828752522115,0.0
L-citrulline,0.024154354682689772,-0.3259111329784874
L-ergothioneine,0.04985390413927091,0.20427089004435833
LCL-161,0.011775286998449251,0.0
LCQ-908,0.03225065633269458,-0.1753764339673436
LDN-193189,-0.006306856493428169,-0.3025362673706888
LGX-818,0.009474352393415675,0.1963330525751489
LX-1031,-0.029639558712990777,0.0
LXR-623,-0.025984658258166357,0.0
LY-2090314,-0.007112534841955998,0.0
LY-215490,-0.059770692426121264,0.0
LY-2157299,-0.017998131187125375,0.0
LY-2228820,0.019437216036586085,0.3066158959707235
LY-2334737,-0.03957660630423228,-0.18496610618401277
LY-2603618,0.013240595264024461,-0.15320942010389632
LY-2784544,-0.038798144094252515,0.2799823702725751
LY-2801653,0.01619548475521302,0.0
LY-2811376,0.020154803923671846,-0.22374886496895002
LY-2874455,-0.013892090489004102,0.0
LY-2886721,-0.07428296077737294,0.0
LY-294002,-0.039862019376286514,0.19472830942512404
MBX-2982,0.010424861839657577,-0.2421350927931819
MC1568,-0.05720825796313424,0.0
MD-920,-0.036870471610657415,0.0
MDL-73005EF,0.01373730647881076,0.39981329818391
MF-101,-0.024008102247379967,0.0
MG-132,0.01821046386919727,0.0
MGCD-265,-0.015710070378929634,-0.18240840531654945
MK-0752,0.05007204884447095,0.13768660331403773
MK-0773,-0.056378191208334774,0.0
MK-0812,0.00783250721537638,-0.20176815257056183
MK-0893,-0.00968049410465073,0.23879125760180792
MK-1775,0.00011767974435104114,-0.26463162355453845
MK-2206,0.025567541440132298,0.0
MK-2461,-0.010999631148507308,0.0
MK-3207,-0.03434501930203912,-0.1856944260272537
MK-5108,0.02979047474143355,0.0
MK-8033,-0.05585824113104398,-0.174705898818608
MK-8245,-0.058442614260845356,0.0
