drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap,uc_pearson,uc_cmap
EX-527,-0.03318001004223061,0.0,-0.004563472250336566,0.0,0.0716965089110883,-0.17510486109323714
FK-866,0.008251591918857302,0.0,-0.03526558852427581,0.0,-0.07458801019311635,0.08675983779793764
FK-888,0.014660101968491431,0.0,0.07344119106785668,0.0,-0.028976159305855544,0.0
FPL-55712,-0.049931450537353705,0.09723224428263956,0.024299729731642784,-0.25392359621820676,-0.012882260188714058,0.0
FPL-62064,-0.05518705817754989,0.09472015395938574,-0.028281850263343886,0.2087323872178295,-0.02600215300973527,0.0
FR-180204,-0.06405484344587342,0.11299989899980564,0.008049832692098144,-0.17065288727206707,0.0024127527135704347,0.0
GDC-0068,-0.022617209462412333,0.07744543614214192,0.019894878148394635,-0.19668789225227346,0.01887932748054836,-0.08190629587733911
GDC-0152,-0.021631045384100017,0.07298627803025956,-0.05554980936393683,0.0,-0.10674273036546396,0.10208853613592209
GDC-0834,-0.011063928108364492,0.0,0.006711110504921474,0.0,-0.0662054921343261,0.09573798140657076
GDC-0879,-0.04581344634253654,0.0,0.024267191472884163,0.0,-0.023595504597379063,0.0
GDC-0941,0.04849440013256384,-0.07949861073677622,-0.0025992933090275678,0.21426340390589627,0.08584896825759206,0.0
GDC-0980,0.02584327952999771,0.0,0.011911494620090042,0.0,0.056833739908706174,0.0
GNF-2,-0.09126420053991958,0.122466529502302,-0.0028558140321222414,-0.2621380098271331,-0.02981904688682279,0.0
GSK-1059615,0.0007422112142474044,0.0,0.03113337731157899,0.0,0.020362612993594136,-0.10367346768894546
GSK-1070916,0.005486559843046235,0.0,0.03798536361920232,0.0,0.046972422236309916,0.0
GSK-1292263,-0.04211968291191206,0.12066597390852567,0.04742105094484539,0.0,-0.01945257971018267,0.0
GSK-1904529A,-0.009710952834137816,0.0,-0.024807138953408452,-0.21885488289411173,-0.0006236703839009243,-0.09115421657903844
GSK-2110183,0.014776604238911696,0.0,0.021183244941376543,0.0,0.056437289021165404,0.0
GSK-2126458,0.035673791103226465,-0.10544694908560126,0.029261124646750094,0.0,0.06878683230429791,0.0
GSK-2334470,-0.02760977319628841,0.09456026945325413,0.026016072446707016,-0.21317366387907283,0.036626755724168354,-0.07638215886760277
GSK-256066,-0.054383237444518166,0.0,0.022859199332338074,0.0,0.013230792649235905,0.0
GSK-2636771,-0.004519728272514529,0.0,-0.019400509314990887,-0.2213332270278541,-0.007076764073323621,0.0
GSK-3-inhibitor-II,-0.09876840621547944,0.13483509771165386,0.012313782170626827,0.0,0.003065103803639908,0.0
GSK-429286A,0.03661583392632634,-0.09207868679829623,0.023630442259134885,-0.2680958617257362,0.06451337697367764,0.0
GSK-461364,0.01809222037733577,-0.07892769258946689,0.04199679162048641,0.0,-0.051949146817335964,0.0
GSK-690693,-0.0034507545214491884,0.0,0.011814477145290532,-0.330038703213709,0.028024507172393413,0.0
GSK-923295,-0.021362068004331575,0.0,-0.010762879798722015,-0.3893992834628379,-0.10237042235187979,0.0
GSK-J1,-0.08242255692151881,0.13403539095285233,0.0009560746317730013,0.0,-0.017267241306417568,0.0
GSK-J2,-0.0077417362201761646,0.09615216469839508,0.04666427518041461,0.0,0.05318995984802624,-0.07913894730979533
GSK-J4,-0.026041011866488575,0.09989967211394946,-0.010582458675142157,-0.21832765549089792,-0.010769733605448598,0.0
GW-5074,-0.08444593405040283,0.0,0.02773310747743827,0.0,-0.08590798909053911,0.11710387786634337
GW-842166,-0.05754515778448762,0.12818972928593642,0.01971964407309871,0.0,-0.009054381222288575,0.0
GW-843682X,-0.05674326040031682,0.11405843406866348,0.038570070399394106,-0.25396325926364627,-0.1505078409222758,0.17779355714149092
Gossypetin,-0.0557824828226047,0.0,0.004330834848830922,0.0,0.03743405266902735,0.0
HC-030031,-0.07065419769827297,0.1115103318134809,0.009938517419447644,0.0,0.03188092631987358,-0.09349301322747938
HG-14-10-04,0.05182110011074993,-0.1030977807064839,0.010237223920517307,0.0,0.014656568373717057,0.0
HG-5-113-01,0.011643864000164235,0.0,-0.009932244981540363,-0.2631408971681782,-0.06315325440795437,0.15297935574743163
HG-5-88-01,-0.016574723763099264,0.0,0.03607310143419437,-0.33905521505786423,-0.031862623894733315,0.0
HG-6-64-01,0.03429284794107812,-0.09399211382913461,-0.03355105284354695,0.0,0.06083811225247494,-0.16154318403167903
HG-9-91-01,-0.049607210754508475,0.1457002729293365,-0.003966901376460603,0.0,0.042361522951103806,-0.102590700400752
HMN-214,-0.03377286334407601,0.08438154913954252,0.045610453449876,-0.2456104600936551,-0.049490433292844936,0.0
I-BET-151,0.07462616424348549,-0.14964359204791447,0.029849390092537446,0.0,0.048842877511704776,0.0
I-BET-762,0.0784346868311596,-0.14967872511756128,0.04410061627407057,0.0,0.060004642455122686,0.0
IB-MECA,-0.04759725213643748,0.10668173691306343,0.026786104028171474,0.2261495457645697,0.043563393598052995,-0.1017296558600485
ICI-162846,-0.03210169802344579,0.08802535095873931,-0.08592792608493774,0.0,-0.017040701721106735,0.0
"ICI-185,282",-0.00989256067356385,0.0,0.06990083759371403,-0.2909125600548378,-0.002685372491980788,0.0
ICI-192605,-0.06987873365131526,0.11644993871238984,0.00818478442867419,-0.2320468742381332,0.002139171024123885,0.0
IKK-2-inhibitor-V,0.0009482164603640568,0.0,0.04090848326925018,-0.19847395866133505,-0.07982014344273583,0.1534741920515439
IKK-inhibitor-X,-0.027895698015397954,0.0,-0.046655544286634,0.20885490746011615,-0.012248206986465957,0.0
IOWH-032,-0.015067608777273301,0.0,-0.0017307936843513104,-0.1552341100336811,0.023834849286312892,-0.10736928218497714
IOX2,-0.06443129048377708,0.1051058342356843,-0.010609740046034299,-0.22185303046850519,0.02801110674485061,-0.0914062113506583
IPI-145,0.010399017500070974,-0.08167578203568972,0.013240534514729828,0.0,-0.06453508308374173,0.10163160284823707
JNJ-26481585,0.09779492405315289,-0.14489485697836282,-0.02596835274730133,0.15534862495045118,-0.006662493899290636,0.08101717668569715
JNJ-38877605,-0.0561700869746861,0.10548625460200109,-0.04602444387511229,-0.20783896387959652,-0.039308157925748675,0.05497927602736545
JNK-9L,-0.09004852236843852,0.13322482197553165,-0.051169563683082946,0.0,-0.04491881760350708,0.0
JNK-IN-5A,-0.030214848650294297,0.0,0.01493061224234817,0.0,-0.12172235278535229,0.17496084042165655
JQ1-(+),0.07535657705127373,-0.10935154084872376,0.02062165532307517,0.12883675737786654,0.006529754930175344,0.07569260871640399
JQ1-(-),-0.06837013809398741,0.12561928407356632,0.019716640893078795,-0.21011470213002903,-0.007805649549455632,0.0
JTC-801,0.012212506485041352,-0.06457770146687077,-0.03032039887214245,0.0,-0.05756614530864143,0.0
