drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap
CTB,-0.08100835192932095,0.16583025785414252,0.03883894216022728,-0.20207341105853766
CTS-1027,-0.020028690100437313,0.0,-0.008388538963375602,-0.1448622482775266
CX-4945,-0.026401903758552222,0.1532161288690861,-0.055689106398723216,0.0
CX-516,-0.05604640345638601,0.11589286149736797,0.04533417137007067,0.0
CX-5461,-0.10291335501061713,0.11115342537208162,0.01435644210912406,-0.236383621690902
CYT-997,-0.021971519651347644,0.08571142923265161,0.05297946188704375,0.0
CYT387,-0.07755324820367919,0.12081509604852239,-0.017694142346405567,-0.22924210362990924
D-4476,0.09713293430750397,-0.1625720796780889,-0.016527047659895135,-0.1854404408231527
D-serine,-0.041986563584725696,0.11488444950326801,-0.0331949941725024,0.0
DMP-543,0.000889292219513981,0.07732616243115409,-0.038621558833875545,-0.24117645887965128
DMP-777,-0.04637062351873128,0.09244199196355633,-0.004504106371201533,-0.18705884818658025
DPCPX,-0.004521887103612217,0.0,0.02114994002062077,0.2254343359706083
DPI-201106,0.030801955633860924,-0.09290463449983559,0.040491200345812585,-0.2617182675685878
DU-728,-0.08876390928270197,0.19381296177328233,-0.05331874917956494,-0.22857982441459493
E-2012,-0.07557621868942427,0.0,-0.02380616558693481,0.0
EMD-1214063,0.04097292080786111,0.0,0.0019301869119784153,0.0
EMD-53998,-0.04885807716637772,0.10216466954891992,-0.08465547761460467,0.33360345847884615
ENMD-2076,0.009971054803934275,-0.060923706732242996,0.019484701593145918,0.2296857523052839
EPZ-005687,0.025034188021041875,-0.11732478457476464,0.03788186148953991,0.0
EVP-6124,0.013708052859465636,0.0,-0.02521951231694913,0.26174378823085676
EX-527,-0.03318001004223061,0.0,-0.004563472250336566,0.0
FK-866,0.008251591918857302,0.0,-0.03526558852427581,0.0
FK-888,0.014660101968491431,0.0,0.07344119106785668,0.0
FPL-55712,-0.049931450537353705,0.09723224428263956,0.024299729731642784,-0.25392359621820676
FPL-62064,-0.05518705817754989,0.09472015395938574,-0.028281850263343886,0.2087323872178295
FR-180204,-0.06405484344587342,0.11299989899980564,0.008049832692098144,-0.17065288727206707
GDC-0068,-0.022617209462412333,0.07744543614214192,0.019894878148394635,-0.19668789225227346
GDC-0152,-0.021631045384100017,0.07298627803025956,-0.05554980936393683,0.0
GDC-0834,-0.011063928108364492,0.0,0.006711110504921474,0.0
GDC-0879,-0.04581344634253654,0.0,0.024267191472884163,0.0
GDC-0941,0.04849440013256384,-0.07949861073677622,-0.0025992933090275678,0.21426340390589627
GDC-0980,0.02584327952999771,0.0,0.011911494620090042,0.0
GNF-2,-0.09126420053991958,0.122466529502302,-0.0028558140321222414,-0.2621380098271331
GSK-1059615,0.0007422112142474044,0.0,0.03113337731157899,0.0
GSK-1070916,0.005486559843046235,0.0,0.03798536361920232,0.0
GSK-1292263,-0.04211968291191206,0.12066597390852567,0.04742105094484539,0.0
GSK-1904529A,-0.009710952834137816,0.0,-0.024807138953408452,-0.21885488289411173
GSK-2110183,0.014776604238911696,0.0,0.021183244941376543,0.0
GSK-2126458,0.035673791103226465,-0.10544694908560126,0.029261124646750094,0.0
GSK-2334470,-0.02760977319628841,0.09456026945325413,0.026016072446707016,-0.21317366387907283
